Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
35,000 0,03771452 0,02614266 0,04110517 0,02538232 0,03778151 0,02596748 0,04048524 0,0253684 0,03603652 0,02957188 0,03860786 0,02740211 0,03334063 0,03195919 0,00244246 0,00230944
36,000 0,03762344 0,0287484 0,04264819 0,02641957 0,03793357 0,02827289 0,04064668 0,02779097 0,03725829 0,03079886 0,03933316 0,02923312 0,03787416 0,02994137 0,00183033 0,00133248
37,000 0,03974925 0,02947874 0,04121137 0,03070493 0,04077044 0,02828767 0,04184464 0,02944741 0,03990852 0,03080571 0,0401867 0,03121401 0,03625441 0,03429586 0,00167325 0,0017737
38,000 0,04273313 0,02961419 0,04586559 0,02922353 0,04227735 0,02986459 0,04651846 0,02797969 0,03995005 0,03379308 0,04265901 0,03184115 0,03800853 0,03566051 0,00278369 0,00255177
39,000 0,04747026 0,02833222 0,05092625 0,02762955 0,04556817 0,02995693 0,04945331 0,02854981 0,04314647 0,03391215 0,04654291 0,03132976 0,04388006 0,03317014 0,00261642 0,0022817
40,000 0,05022459 0,02913445 0,05698052 0,0251498 0,05311896 0,02600162 0,05478272 0,02687019 0,04938065 0,03127573 0,05238036 0,02907001 0,04885173 0,03178115 0,00276323 0,00236985
41,000 0,05499736 0,02797764 0,059801 0,02586234 0,05283366 0,0297713 0,05998812 0,02527483 0,05463009 0,02960596 0,05757296 0,02743238 0,05466725 0,02953732 0,00258083 0,00170534
42,000 0,05717793 0,02915052 0,06365796 0,02535706 0,06046602 0,02545409 0,06234123 0,02632338 0,05791018 0,02978828 0,05946359 0,02894867 0,0560035 0,0316045 0,00257466 0,0022244
43,000 0,05671892 0,03260378 0,06497297 0,02702995 0,06069128 0,02813263 0,06407896 0,02761995 0,06020057 0,03067213 0,0594945 0,03199288 0,05586185 0,03491505 0,00314981 0,00272755
44,000 0,0600927 0,03154438 0,06467581 0,02974059 0,05935528 0,03184266 0,06341471 0,03091424 0,05932433 0,03424918 0,0632486 0,03065592 0,059861 0,03353758 0,00209659 0,00148408
45,000 0,04402871 0,04996467 0,05309115 0,04364272 0,04245649 0,05096634 0,05107749 0,04559344 0,05132744 0,04454913 0,04847862 0,04778525 0,04331576 0,05239995 0,00404314 0,00313
46,000 0,04602972 0,05062292 0,05200787 0,04736882 0,0443005 0,05184187 0,0483189 0,05098189 0,0444461 0,05403755 0,04470367 0,05421703 0,04326768 0,05506276 0,00282227 0,00247417
47,000 0,04598606 0,05353966 0,05271625 0,04948079 0,04433565 0,05465547 0,05119492 0,05095896 0,04467407 0,05657571 0,04529929 0,05642264 0,0425583 0,05859617 0,00349932 0,0030055
48,000 0,04591189 0,05666374 0,04804953 0,05716832 0,04620784 0,05581453 0,0514561 0,05370292 0,04395019 0,06028478 0,04592236 0,05872004 0,04414757 0,05999208 0,00238331 0,00218823
49,000 0,04825388 0,05747871 0,05353758 0,05478113 0,04811191 0,05714142 0,05353605 0,05475868 0,04634853 0,06100413 0,04735969 0,06037308 0,04409708 0,06316385 0,00329133 0,00297983
50,000 0,05418628 0,05475601 0,05739253 0,05402654 0,05389743 0,05458077 0,05793776 0,05352094 0,04973654 0,06079784 0,05205595 0,05879952 0,04885281 0,06161192 0,00323578 0,00317688
51,000 0,06029896 0,05160638 0,06494656 0,04935687 0,06014536 0,05126731 0,06351667 0,05087982 0,05591163 0,05774024 0,05796396 0,05582944 0,0550022 0,05850571 0,00342435 0,00340163
52,000 0,06215314 0,05250435 0,0669183 0,05011818 0,06186799 0,05222849 0,06541033 0,05173782 0,06094417 0,05563254 0,06219737 0,05437071 0,06169918 0,05469727 0,00206048 0,00178952
53,000 0,06436556 0,05283787 0,07126433 0,04827595 0,06397044 0,05262626 0,06912999 0,05054619 0,06321182 0,05602208 0,06466207 0,0544307 0,06309204 0,05594747 0,00296558 0,00262834
54,000 0,06281178 0,05673542 0,06837416 0,05343852 0,06571688 0,05324736 0,06872161 0,05324951 0,06440222 0,05724284 0,06555615 0,05581953 0,0599344 0,06153722 0,00284922 0,00278789
