Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
329,73553466797 325567 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,117 0,0591407 -0,6764 -5,96368 2,69507 0 55,76091125214 37,72522340029 160,38220214844 -0,690373 9,33305 -0,846924
329,28445434570 325814 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,1194 0,0224101 -0,670709 -5,97897 2,71201 0 55,76090757801 37,72522636417 160,39115905762 -1,248 9,71575 -0,451745
328,83337402344 326058 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,1188 0,022243 -0,661104 -6,04106 2,74852 0 55,76090388044 37,72522934574 160,40045166016 -0,299457 10,2372 0,187339
328,38232421875 326301 -3,24778 <_____> 1517,26 <Интегр-Навиг> 62,1172 -0,0608265 -0,656062 -6,04208 2,75135 0 55,76090025599 37,72523226844 160,40953063965 -0,633034 9,24436 -0,750741
327,93124389648 326549 -1,62378 <_____> 1517,86 <Интегр-Навиг> 62,1182 -0,0897818 -0,669167 -5,87321 2,6757 0 55,76089665045 37,72523643787 160,42680358887 1,23189 10,4429 0,819914
327,48016357422 326801 -1,62378 <_____> 1518,67 <Интегр-Навиг> 62,1122 -0,0318435 -0,679474 -5,82609 2,63926 0 55,76089306007 37,72523932397 160,43658447266 0,882259 10,159 0,922359
327,02908325195 327056 -3,24778 <_____> 1518,67 <Интегр-Навиг> 62,1033 -0,0388255 -0,706456 -5,83092 2,63244 0 55,76088928390 37,72524235702 160,44667053223 -1,28777 9,70181 -1,631
326,57800292969 327310 -1,62389 <_____> 1518,87 <Интегр-Навиг> 62,0988 -0,028712 -0,711417 -5,82918 2,65052 0 55,76088561086 37,72524530572 160,45660400391 1,00545 10,6156 1,47609
326,12692260742 327564 -1,62389 <_____> 1519,28 <Интегр-Навиг> 62,0932 -0,0223211 -0,717934 -5,75905 2,59604 0 55,76088206839 37,72524954281 160,47689819336 -1,11756 9,41035 -1,83166
325,67587280273 327822 -3,24778 <_____> 1519,48 <Интегр-Навиг> 62,1078 -0,0726869 -0,733421 -5,70121 2,55448 0 55,76087835436 37,72525251397 160,48785400391 -0,891361 10,3792 -1,73626
325,22479248047 328084 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,1429 -0,124861 -0,732981 -5,61916 2,52588 0 55,76087468430 37,72525544404 160,49897766113 0,196355 10,1725 0,848091
324,77371215820 328350 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,1473 -0,173583 -0,744481 -5,53766 2,49696 0 55,76087097377 37,72525839988 160,51089477539 0,776193 9,0872 0,980923
324,32263183594 328620 -3,24778 <_____> 1519,08 <Интегр-Навиг> 62,1225 -0,233312 -0,739802 -5,408 2,40884 0 55,76086718023 37,72526321224 160,53894042969 -0,671673 8,26324 -0,284571
323,87155151367 328891 -1,62389 <_____> 1517,46 <Интегр-Навиг> 62,0844 -0,161599 -0,768512 -5,50974 2,47891 0 55,76086347019 37,72526616123 160,55131530762 -0,147366 10,2192 1,09466
323,42050170898 329153 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0378 -0,0599355 -0,777802 -5,77724 2,61839 0 55,76085980805 37,72526908992 160,56300354004 -0,642516 9,74475 -0,614807
322,96942138672 329406 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,0733 -0,0810108 -0,776861 -5,82273 2,62909 0 55,76085613262 37,72527204315 160,57423400879 -1,08007 9,5307 -0,170904
322,51834106445 329663 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,1325 -0,0517919 -0,783932 -5,74537 2,58408 0 55,76085230429 37,72527725007 160,58509826660 -1,07033 10,248 -1,23122
322,06726074219 329921 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,1774 0,000671474 -0,779999 -5,76238 2,58904 0 55,76084867774 37,72528015490 160,59593200684 -0,904856 9,4378 -0,494931
321,61618041992 330178 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,1892 -0,0122583 -0,775837 -5,73784 2,59065 0 55,76084494364 37,72528314047 160,60675048828 -0,17518 9,51505 -1,39487
321,16510009766 330435 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,1853 0,0269348 -0,785368 -5,75664 2,59596 0 55,76084121971 37,72528611459 160,61744689941 -0,488882 9,55342 -0,556756
320,71405029297 330691 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,1617 0,0503692 -0,777281 -5,78932 2,62774 0 55,76083721718 37,72529178832 160,63095092773 0,93424 9,89823 1,04351
320,26296997070 330945 -1,62378 Piket 1517,05 <Интегр-Навиг> 62,1389 0,0954083 -0,778495 -5,83383 2,62937 0 55,76083355182 37,72529473112 160,64149475098 -0,898101 9,24083 -0,604211
319,81188964844 331197 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1446 0,0235892 -0,778011 -5,86726 2,65207 0 55,76082984911 37,72529770754 160,65185546875 -1,27381 9,64571 -1,27217
319,36080932617 331448 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,131 0,0194085 -0,778738 -5,85672 2,65834 0 55,76082614289 37,72530068947 160,66256713867 -0,91984 9,61653 -0,914819
318,90972900391 331703 -1,62389 <_____> 1517,86 <Интегр-Навиг> 62,1285 -0,0914295 -0,788804 -5,70889 2,59421 0 55,76082312829 37,72530593787 160,67231750488 0,141056 9,93838 0,76256
318,45867919922 331962 -1,62389 <_____> 1518,67 <Интегр-Навиг> 62,0999 -0,0478012 -0,781668 -5,7041 2,58434 0 55,76081944120 37,72530889622 160,68421936035 0,295028 8,81352 -0,102574
318,00759887695 332222 -3,24767 <_____> 1519,28 <Интегр-Навиг> 62,1172 -0,0976448 -0,793429 -5,72378 2,58256 0 55,76081574251 37,72531186903 160,69598388672 -1,11569 11,0693 -1,53888
317,55651855469 332480 -1,62389 <_____> 1519,48 <Интегр-Навиг> 62,1401 -0,0492631 -0,748903 -5,71615 2,60309 0 55,76081212108 37,72531477523 160,71192932129 0,341 10,1741 -0,275013
317,10543823242 332741 -1,62389 <_____> 1519,48 <Интегр-Навиг> 62,1954 -0,105098 -0,769542 -5,57205 2,52483 0 55,76080887735 37,72531893249 160,72438049316 0,271206 9,8299 1,06715
316,65435791016 333007 -3,24778 <_____> 1519,28 <Интегр-Навиг> 62,2066 -0,0541365 -0,773517 -5,59734 2,52888 0 55,76080527797 37,72532180749 160,73608398438 0,304104 10,3924 1,49458
316,20330810547 333271 -3,24778 <_____> 1519,28 <Интегр-Навиг> 62,2147 -0,162365 -0,806587 -5,58717 2,53366 0 55,76080156071 37,72532478179 160,74792480469 0,763688 9,5692 1,30422
315,75222778320 333538 -3,24767 <_____> 1519,08 <Интегр-Навиг> 62,1896 -0,0767876 -0,848697 -5,57558 2,50777 0 55,76079830027 37,72532746216 160,77087402344 0,127553 9,05442 0,652271
315,30114746094 333801 -1,62389 <_____> 1518,87 <Интегр-Навиг> 62,132 -0,0672773 -0,877436 -5,61856 2,56387 0 55,76079458310 37,72533043836 160,78273010254 0,936566 10,0212 1,40981
314,85006713867 334064 -1,62389 <_____> 1518,67 <Интегр-Навиг> 62,1086 0,0398374 -0,875575 -5,62645 2,53449 0 55,76079093811 37,72533336215 160,79415893555 -0,526712 9,79646 0,611072
314,39898681641 334326 -3,24778 <_____> 1518,67 <Интегр-Навиг> 62,0675 0,128656 -0,851462 -5,64925 2,55278 0 55,76078730157 37,72533627748 160,80497741699 -0,754156 10,0669 -1,36354
313,94793701172 334584 -1,62389 <_____> 1518,67 <Интегр-Навиг> 62,0451 0,261502 -0,810864 -5,78891 2,61643 0 55,76078361467 37,72534104302 160,85414123535 -1,14313 9,02435 -0,199479
313,49685668945 334838 -1,62389 <_____> 1518,67 <Интегр-Навиг> 62,0501 0,17004 -0,795306 -5,80758 2,64395 0 55,76077994364 37,72534401600 160,86436462402 -0,564704 9,9655 0,310743
313,04577636719 335092 -3,24767 <_____> 1518,87 <Интегр-Навиг> 62,0865 0,273691 -0,849137 -5,71742 2,67921 0 55,76077629354 37,72534697157 160,87452697754 -1,51059 9,23095 2,09873
312,59469604492 335346 -1,62389 <_____> 1519,08 <Интегр-Навиг> 62,1142 -0,0672579 -0,818107 -5,81913 2,65366 0 55,76077263336 37,72534992122 160,88690185547 -0,848143 9,40447 -0,355857
312,14361572266 335598 -1,62389 <_____> 1519,48 <Интегр-Навиг> 62,1552 -0,222683 -0,824737 -5,82594 2,65555 0 55,76076984794 37,72535362456 160,94277954102 0,132867 10,392 0,632799
311,69253540039 335853 -3,24778 <_____> 1519,68 <Интегр-Навиг> 62,1656 -0,157818 -0,890355 -5,72092 2,60504 0 55,76076619779 37,72535657622 160,95664978027 0,419684 9,61815 0,872117
311,24148559570 336113 -1,62389 <_____> 1519,48 <Интегр-Навиг> 62,1625 -0,0915797 -0,870778 -5,63115 2,55518 0 55,76076251503 37,72535953815 160,97006225586 -0,382699 9,62027 -1,02662
310,79040527344 336373 -1,62389 <_____> 1519,08 <Интегр-Навиг> 62,0957 -0,10076 -0,873832 -5,67316 2,56601 0 55,76075884185 37,72536249731 160,98335266113 -0,791993 9,15845 -0,013564
310,33932495117 336633 -3,24767 <_____> 1517,46 <Интегр-Навиг> 62,057 -0,0799819 -0,884117 -5,65855 2,56972 0 55,76075499828 37,72536623523 161,06556701660 0,75835 10,1094 0,946584
309,88824462891 336894 -1,62389 Piket 1516,65 <Интегр-Навиг> 62,0283 -0,0800211 -0,882855 -5,60177 2,53999 0 55,76075134898 37,72536917462 161,07991027832 -1,36677 9,73458 -1,7838
309,43716430664 337156 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,0443 0,00288631 -0,882928 -5,61433 2,54203 0 55,76074762053 37,72537217892 161,09457397461 -0,159555 9,0805 -1,16066
308,98611450195 337417 -3,24778 <_____> 1516,25 <Интегр-Навиг> 62,1104 -0,0369362 -0,882007 -5,71618 2,57844 0 55,76074395379 37,72537513609 161,10871887207 -1,5498 9,42627 -1,04777
308,53503417969 337673 -3,24778 <_____> 1516,25 <Интегр-Навиг> 62,1381 -0,0199483 -0,864523 -5,72521 2,60398 0 55,76074039632 37,72538025849 161,19317626953 -0,665175 9,61855 -0,708801
308,08395385742 337930 -3,24767 <_____> 1516,25 <Интегр-Навиг> 62,1246 -0,0608217 -0,855283 -5,69981 2,60066 0 55,76073667944 37,72538326534 161,20819091797 0,63485 9,68244 -0,633835
307,63287353516 338188 -1,62389 <_____> 1516,25 <Интегр-Навиг> 62,1151 -0,0416773 -0,82467 -5,64317 2,55638 0 55,76073298493 37,72538624457 161,22325134277 -0,225255 9,77095 -1,96094
307,18179321289 338447 -1,62389 <_____> 1516,25 <Интегр-Навиг> 62,1132 -0,0422485 -0,802396 -5,6375 2,56111 0 55,76072941121 37,72538912258 161,23776245117 0,603857 9,73489 -1,13729
306,73071289063 338707 -3,24778 <_____> 1516,25 <Интегр-Навиг> 62,1433 0,000259252 -0,806846 -5,6459 2,56089 0 55,76072579266 37,72539275515 161,32109069824 -0,98508 9,91896 -0,704239
306,27966308594 338968 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,1817 0,0236825 -0,78476 -5,61205 2,55632 0 55,76072204395 37,72539577344 161,33714294434 0,913284 10,0277 0,753513
305,82858276367 339230 -1,62389 <_____> 1516,65 <Интегр-Навиг> 62,1845 0,0349625 -0,765257 -5,59393 2,53512 0 55,76071841696 37,72539869292 161,35278320313 0,0993377 10,3976 1,11689
305,37750244141 339493 -3,24767 <_____> 1516,65 <Интегр-Навиг> 62,1247 -0,0203802 -0,779765 -5,57994 2,52833 0 55,76071479329 37,72540160980 161,42213439941 -0,278545 10,4209 -1,82384
304,92642211914 339755 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,0872 -0,0183846 -0,781158 -5,5861 2,55159 0 55,76071150045 37,72540496879 161,43919372559 0,726594 9,49843 0,451771
304,47534179688 340018 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,1143 -0,10144 -0,79833 -5,60263 2,54203 0 55,76070787423 37,72540789839 161,45588684082 -0,706812 9,57577 1,10167
304,02429199219 340281 -3,24778 <_____> 1516,25 <Интегр-Навиг> 62,0899 -0,0196026 -0,832837 -5,66092 2,56688 0 55,76070416252 37,72541089387 161,47317504883 -0,554087 10,1928 0,260663
303,57321166992 340538 -1,62378 <_____> 1516,25 <Интегр-Навиг> 62,1131 -0,109647 -0,847032 -5,75266 2,63681 0 55,76070019603 37,72541457748 161,53996276855 -0,0737403 9,59373 -1,13424
303,12213134766 340792 -1,62378 <_____> 1516,45 <Интегр-Навиг> 62,1025 -0,0551556 -0,888056 -5,79207 2,64882 0 55,76069654733 37,72541754064 161,55728149414 -0,829688 9,79763 -0,266674
302,67105102539 341048 -3,24778 <_____> 1516,45 <Интегр-Навиг> 62,0793 -0,11994 -0,925293 -5,6596 2,58215 0 55,76069283090 37,72542055945 161,57479858398 -1,01413 9,21605 -0,535566
302,21997070313 341308 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,0212 -0,0586549 -0,945072 -5,65419 2,58106 0 55,76068916924 37,72542352395 161,59236145020 -0,698634 9,90286 0,248156
301,76892089844 341568 -1,62389 <_____> 1516,65 <Интегр-Навиг> 62,023 -0,048861 -0,979743 -5,70525 2,60908 0 55,76068532790 37,72542755394 161,63650512695 0,986025 9,85059 1,39557
301,31784057617 341826 -3,24767 <_____> 1516,65 <Интегр-Навиг> 62,0312 -0,00393296 -0,989657 -5,67341 2,60952 0 55,76068172652 37,72543047844 161,65402221680 0,353788 10,1035 1,1617
300,86676025391 342088 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,1063 -0,109841 -1,02415 -5,59059 2,54343 0 55,76067798024 37,72543351593 161,67219543457 -1,10587 9,20243 -0,674691
300,41567993164 342351 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,1265 0,0081405 -1,02977 -5,62848 2,55432 0 55,76067435921 37,72543643830 161,68991088867 -0,482835 8,94534 0,247726
299,96459960938 342610 -3,24778 Piket 1516,85 <Интегр-Навиг> 62,1 0,0329987 -1,0511 -5,75337 2,61129 0 55,76067032189 37,72544140453 161,72056579590 -1,07826 8,5433 -1,29935
299,51354980469 342865 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,0742 -0,00843597 -1,06244 -5,78753 2,67137 0 55,76066667768 37,72544436682 161,73782348633 0,979966 9,23271 1,19453
299,06246948242 343121 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,0605 -0,125077 -1,05262 -5,7394 2,64482 0 55,76066293235 37,72544741807 161,75605773926 -0,984961 9,58485 -0,396499
298,61138916016 343378 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0444 -0,0607083 -1,08852 -5,78665 2,64548 0 55,76065930814 37,72545036086 161,77395629883 -0,492107 9,50384 -0,50353
298,16030883789 343632 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0951 -0,133747 -1,12477 -5,81796 2,67923 0 55,76065543043 37,72545436444 161,81542968750 -0,281774 9,18126 1,21576
297,70922851563 343883 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,0666 -0,0854229 -1,15432 -5,85612 2,71524 0 55,76065174086 37,72545738888 161,83403015137 0,451774 9,84086 1,34373
297,25814819336 344136 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0051 -0,0306783 -1,15987 -5,81676 2,67885 0 55,76064804764 37,72546040118 161,85148620605 1,07642 10,3992 1,34987
296,80709838867 344389 -1,62389 <_____> 1517,05 <Интегр-Навиг> 61,9866 0,210883 -1,17113 -5,83461 2,66909 0 55,76064437777 37,72546338698 161,86894226074 -0,869639 9,26943 -0,652814
296,35601806641 344642 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,0298 0,234575 -1,14054 -5,85763 2,69814 0 55,76064100844 37,72546793759 161,90034484863 -0,481846 10,0827 0,838009
295,90493774414 344891 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0483 0,213345 -1,09901 -5,91004 2,71043 0 55,76063737944 37,72547090620 161,91677856445 -1,08785 8,71142 -0,773758
295,45385742188 345141 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,1006 0,0737534 -1,09277 -5,85048 2,69551 0 55,76063375974 37,72547385704 161,93313598633 0,284313 10,1521 0,891153
295,00277709961 345393 -3,24778 <_____> 1516,65 <Интегр-Навиг> 62,1535 0,0508271 -1,07261 -5,80355 2,6559 0 55,76063007479 37,72547685555 161,95062255859 0,475874 9,97994 -0,477796
294,55172729492 345645 -3,24778 <_____> 1516,45 <Интегр-Навиг> 62,1978 -0,0363045 -1,0725 -5,85129 2,66648 0 55,76062663939 37,72548148189 161,99392700195 -0,761232 9,26641 -0,672551
294,10064697266 345895 -3,24767 <_____> 1516,45 <Интегр-Навиг> 62,173 0,00663671 -1,08207 -5,84101 2,66964 0 55,76062293906 37,72548448927 162,01231384277 -0,456522 9,98846 -1,41795
293,64956665039 346148 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,1892 -0,118763 -1,07519 -5,75962 2,63882 0 55,76061926836 37,72548747402 162,03070068359 -0,885 9,3029 -0,408509
293,19848632813 346404 -1,62389 <_____> 1516,45 <Интегр-Навиг> 62,1912 -0,0603585 -1,09392 -5,71784 2,61226 0 55,76061564473 37,72549041575 162,04916381836 0,460684 9,723 0,57537
292,74740600586 346660 -3,24778 <_____> 1516,65 <Интегр-Навиг> 62,1222 -0,152778 -1,10814 -5,71003 2,62314 0 55,76061241789 37,72549511622 162,08557128906 -1,18569 9,54075 -0,57892
292,29632568359 346913 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0555 -0,0446218 -1,12301 -5,79016 2,66367 0 55,76060877867 37,72549809137 162,10435485840 0,98592 9,92668 1,10224
291,84527587891 347168 -1,62389 <_____> 1517,05 <Интегр-Навиг> 61,9912 -0,0729712 -1,12399 -5,70887 2,63519 0 55,76060503574 37,72550115775 162,12351989746 -0,824566 9,36192 -1,08707
291,39419555664 347427 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,002 0,0457177 -1,10697 -5,58645 2,58213 0 55,76060147216 37,72550407124 162,14196777344 -0,478366 9,71108 0,508457
290,94311523438 347690 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0079 0,0624326 -1,10411 -5,63627 2,56694 0 55,76059833793 37,72550702198 162,15686035156 -1,26584 9,56087 -0,651442
290,49203491211 347951 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,0637 0,108003 -1,09018 -5,64346 2,5969 0 55,76059467924 37,72551000909 162,17550659180 0,796243 10,5164 1,39039
290,04095458984 348212 -3,24778 Piket 1516,85 <Интегр-Навиг> 62,099 0,0390396 -1,07835 -5,55243 2,5444 0 55,76059104077 37,72551297511 162,19406127930 -0,699251 9,52198 -1,6769
289,58990478516 348478 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,0807 0,0163812 -1,08674 -5,48557 2,51433 0 55,76058737015 37,72551596452 162,19775390625 -1,08367 10,1179 -1,07326
289,13882446289 348743 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,0447 0,0308893 -1,1155 -5,54497 2,56762 0 55,76058415195 37,72551947841 162,21632385254 -0,429856 9,55301 1,3613
288,68774414063 349006 -3,24767 <_____> 1516,85 <Интегр-Навиг> 61,9881 0,149986 -1,10777 -5,59572 2,56318 0 55,76058053442 37,72552243167 162,23449707031 -0,52033 9,27793 -0,811272
288,23666381836 349266 -3,24767 <_____> 1516,85 <Интегр-Навиг> 61,9836 0,136024 -1,13346 -5,63411 2,58985 0 55,76057689441 37,72552541359 162,25204467773 -0,954952 10,2112 -0,0405198
287,78558349609 349527 -3,24778 <_____> 1516,85 <Интегр-Навиг> 62,0404 0,137523 -1,11568 -5,57268 2,58676 0 55,76057326057 37,72552838662 162,27005004883 0,236575 9,9586 0,702989
287,33453369141 349789 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0932 -0,0928675 -1,11511 -5,59783 2,58109 0 55,76056963750 37,72553274135 162,25492858887 -0,771941 9,85848 1,5333
286,88345336914 350052 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,0843 -0,127681 -1,1006 -5,5699 2,54213 0 55,76056603848 37,72553567201 162,27336120605 -1,65467 9,88996 -1,34339
286,43237304688 350316 -3,24767 <_____> 1517,05 <Интегр-Навиг> 62,0605 -0,0980459 -1,09199 -5,51116 2,54191 0 55,76056235762 37,72553868040 162,29278564453 -0,981403 10,0953 -1,05453
285,98129272461 350582 -1,62389 <_____> 1518,27 <Интегр-Навиг> 61,9943 0,0107546 -1,07574 -5,53523 2,53105 0 55,76055919891 37,72554198000 162,26017761230 -0,00119349 9,82544 0,751336
285,53021240234 350845 -1,62389 <_____> 1519,08 <Интегр-Навиг> 61,9413 -0,0206545 -1,06406 -5,56959 2,58478 0 55,76055559911 37,72554493606 162,27807617188 -0,696712 9,81303 -1,20909
285,07916259766 351107 -3,24778 <_____> 1518,67 <Интегр-Навиг> 61,9481 7,92928e-5 -1,03007 -5,56741 2,59225 0 55,76055198406 37,72554790590 162,29615783691 0,351868 9,87828 1,37235
284,62808227539 351370 -1,62378 <_____> 1517,86 <Интегр-Навиг> 61,9512 -0,056048 -1,01545 -5,50527 2,5673 0 55,76054829512 37,72555093663 162,31454467773 -0,10325 9,5693 1,3138
284,17700195313 351637 -1,62378 <_____> 1517,05 <Интегр-Навиг> 61,9746 -0,0171373 -1,00479 -5,46867 2,52571 0 55,76054529992 37,72555504020 162,25442504883 0,107747 9,78298 0,209104
283,72592163086 351901 -3,24778 <_____> 1517,05 <Интегр-Навиг> 61,9797 0,0229922 -1,02338 -5,62507 2,60568 0 55,76054162896 37,72555805638 162,27165222168 1,38936 9,73331 1,63443
283,27484130859 352159 -1,62389 <_____> 1517,05 <Интегр-Навиг> 61,959 -6,72229e-5 -1,02445 -5,62585 2,62123 0 55,76053806857 37,72556099652 162,28784179688 1,33143 10,1224 1,72451
282,82376098633 352420 -1,62389 <_____> 1517,05 <Интегр-Навиг> 61,9194 -0,0652729 -1,04063 -5,48739 2,56628 0 55,76053445744 37,72556398156 162,30444335938 -0,541114 9,97818 -1,51904
282,37271118164 352686 -3,24778 <_____> 1518,27 <Интегр-Навиг> 61,8888 0,00216421 -1,03843 -5,46661 2,53925 0 55,76053114619 37,72556658196 162,20680236816 -0,582927 9,34088 -0,603525
281,92163085938 352951 -1,62378 <_____> 1519,08 <Интегр-Навиг> 61,915 0,0310161 -1,05211 -5,54347 2,57591 0 55,76052749093 37,72556959724 162,22201538086 -0,718959 10,4273 -0,263486
281,47055053711 353213 -1,62378 <_____> 1519,28 <Интегр-Навиг> 61,936 0,0654101 -1,05851 -5,57359 2,5732 0 55,76052388823 37,72557256615 162,23689270020 0,0927958 10,1812 0,0915569
281,01947021484 353476 -3,24778 <_____> 1519,48 <Интегр-Навиг> 61,9702 0,0091315 -1,04157 -5,53768 2,57975 0 55,76052019869 37,72557560395 162,11651611328 0,815169 10,088 0,353308
280,56838989258 353740 -1,62389 <_____> 1519,68 <Интегр-Навиг> 61,9328 0,0583842 -1,03392 -5,49305 2,55835 0 55,76051696953 37,72557819693 162,12953186035 -0,540327 9,88858 0,555527
280,11734008789 354001 -1,62389 <_____> 1519,68 <Интегр-Навиг> 61,8319 0,0475308 -1,02414 -5,58658 2,61361 0 55,76051328057 37,72558124241 162,14263916016 -1,16023 10,179 -0,675056
279,66625976563 354261 -3,24767 <_____> 1519,68 <Интегр-Навиг> 61,7618 0,0946142 -0,987646 -5,60115 2,6215 0 55,76050964815 37,72558425470 162,15550231934 -0,653127 9,61562 -0,383095
279,21517944336 354520 -1,62389 <_____> 1519,48 <Интегр-Навиг> 61,7431 0,00759769 -0,999378 -5,58754 2,6039 0 55,76050611919 37,72558718944 162,16781616211 -0,616368 10,3816 0,287464
278,76409912109 354781 -1,62389 <_____> 1519,08 <Интегр-Навиг> 61,7765 0,0459639 -1,02471 -5,57973 2,61016 0 55,76050288428 37,72559046806 162,03785705566 -1,03347 10,6622 -0,850136
278,31301879883 355041 -3,24778 <_____> 1518,67 <Интегр-Навиг> 61,7688 -0,00727465 -1,02776 -5,63015 2,65681 0 55,76049926323 37,72559348421 162,04879760742 -0,149816 10,6195 1,19083
277,86193847656 355299 -1,62389 <_____> 1518,67 <Интегр-Навиг> 61,8103 -0,0087331 -1,02568 -5,5918 2,60605 0 55,76049571023 37,72559643727 162,05975341797 -1,11116 9,01096 -0,209319
277,41088867188 355562 -1,62389 <_____> 1518,67 <Интегр-Навиг> 61,8692 -0,0794713 -1,08456 -5,47943 2,55272 0 55,76049253527 37,72559947829 161,94865417480 -0,846833 10,1996 -2,512
276,95980834961 355829 -3,24767 <_____> 1519,28 <Интегр-Навиг> 61,8488 0,0214597 -1,11158 -5,48105 2,54944 0 55,76048891571 37,72560248237 161,95800781250 -0,483171 9,88589 1,02499
276,50872802734 356096 -1,62389 <_____> 1519,88 <Интегр-Навиг> 61,8274 -0,0314896 -1,14121 -5,45172 2,55415 0 55,76048529422 37,72560548758 161,96769714355 0,622413 9,94057 0,26847
276,05764770508 356363 -1,62389 <_____> 1520,29 <Интегр-Навиг> 61,7484 -0,0945968 -1,12439 -5,4063 2,54761 0 55,76048167700 37,72560849337 161,97702026367 -0,919699 9,24253 -0,837415
275,60656738281 356629 -3,24778 <_____> 1520,89 <Интегр-Навиг> 61,6815 -0,0931296 -1,13505 -5,47499 2,54975 0 55,76047864210 37,72561232130 161,89816284180 -0,866168 9,52663 -0,600924
275,15551757813 356896 -1,62389 <_____> 1521,3 <Интегр-Навиг> 61,7007 0,0288823 -1,08339 -5,34823 2,68739 0 55,76047503630 37,72561533415 161,90615844727 -0,365048 14,7966 -1,71896
274,70443725586 357160 -1,62389 <_____> 1521,5 <Интегр-Навиг> 61,716 -0,0514728 -1,12162 -5,57499 2,61771 0 55,76047146529 37,72561830964 161,91519165039 -0,922819 9,76835 -0,449533
274,25335693359 357421 -3,24767 <_____> 1522,11 <Интегр-Навиг> 61,733 -0,081405 -1,08344 -5,53222 2,58888 0 55,76046787108 37,72562131441 161,92366027832 0,590029 9,69253 0,777915
273,80227661133 357685 -1,62389 <_____> 1522,31 <Интегр-Навиг> 61,7119 -0,0695203 -1,07362 -5,42424 2,56437 0 55,76046409517 37,72562400674 161,86547851563 -0,416106 10,4679 -0,0439133
273,35119628906 357952 -1,62389 <_____> 1522,31 <Интегр-Навиг> 61,6671 0,00645323 -1,02139 -5,42141 2,55127 0 55,76046048317 37,72562701390 161,87348937988 -0,340612 9,43486 -1,31426
272,90014648438 358218 -3,24778 <_____> 1522,51 <Интегр-Навиг> 61,643 -0,0472304 -1,01109 -5,45588 2,55862 0 55,76045686729 37,72563003748 161,88130187988 -1,18501 9,95498 0,283262
272,44906616211 358487 -1,62378 <_____> 1522,31 <Интегр-Навиг> 61,5971 -0,0961859 -1,00729 -5,38157 2,52349 0 55,76045328225 37,72563303637 161,84063720703 0,386496 10,3189 0,026104
271,99798583984 358760 -1,62378 <_____> 1522,31 <Интегр-Навиг> 61,569 -0,119656 -0,986115 -5,22868 2,4685 0 55,76044911718 37,72563974583 161,84802246094 -0,386248 9,65637 -1,63915
271,54690551758 359039 -3,24778 <_____> 1522,31 <Интегр-Навиг> 61,5392 -0,0654317 -1,00515 -5,19316 2,46008 0 55,76044549543 37,72564278339 161,85539245605 -0,0859737 9,91636 -1,03836
271,09582519531 359317 -1,62389 <_____> 1522,31 <Интегр-Навиг> 61,5397 -0,0933084 -1,01938 -5,24756 2,47891 0 55,76044185513 37,72564584306 161,86260986328 -0,863887 10,0666 -0,0462346
