Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
683,82910156250 80103 -1,624 <_____> 1519,88 <Интегр-Навиг> 62,2394 0,00524372 -0,0519401 -3,28498 1,94123 0 55,76372432163 37,72260962137 160,66442871094 0,0338131 9,19343 1,12886
683,37799072266 80525 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,2365 -0,0481797 -0,121299 -3,28494 1,94993 0 55,76372050993 37,72261216157 160,79580688477 1,11298 10,6197 0,571905
682,92694091797 80950 -1,624 <_____> 1519,28 <Интегр-Навиг> 62,2052 0,0176869 -0,215719 -3,23303 1,93019 0 55,76371711940 37,72261574104 160,77891540527 -0,122574 10,518 -1,07502
682,47589111328 81377 -1,62378 Piket 1519,08 <Интегр-Навиг> 62,2009 0,016949 -0,29947 -3,22934 1,91974 0 55,76371369276 37,72261936068 160,76159667969 1,31061 10,337 0,994187
682,02478027344 81803 -1,62378 <_____> 1518,07 <Интегр-Навиг> 62,1924 0,063824 -0,396822 -3,22677 1,89313 0 55,76370997971 37,72262256861 160,90301513672 -1,29494 8,41719 0,650942
681,57373046875 82230 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1937 -9,9577e-5 -0,482094 -3,23034 1,92776 0 55,76370653536 37,72262620159 160,88938903809 -0,627338 9,5074 -0,5491
681,12261962891 82647 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2051 -0,0476092 -0,560032 -3,34551 1,98663 0 55,76370312453 37,72263005179 161,02142333984 0,444661 10,4533 -0,794582
680,67156982422 83058 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1608 -0,0415621 -0,613216 -3,38416 2,00769 0 55,76369966144 37,72263369560 161,01167297363 -1,1658 8,93565 0,363883
680,22052001953 83462 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1303 -0,00559006 -0,65164 -3,43921 2,04388 0 55,76369627326 37,72263725521 161,13241577148 -0,411709 9,73494 -0,523473
679,76940917969 83860 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1037 -0,00428877 -0,693101 -3,47434 2,05481 0 55,76369249089 37,72264084231 161,12611389160 -0,16556 10,2309 -0,595473
679,31835937500 84254 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,0953 0,000963332 -0,715565 -3,51585 2,07274 0 55,76368906359 37,72264443212 161,11991882324 0,191875 9,86914 0,663551
678,86724853516 84642 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1325 -0,0610817 -0,72763 -3,59383 2,1039 0 55,76368553432 37,72264702976 161,23045349121 -0,959184 9,25832 -0,149436
678,41619873047 85033 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1378 -0,013278 -0,749385 -3,49608 2,06575 0 55,76368206516 37,72265065109 161,22685241699 -0,131407 10,4672 -0,562196
677,96514892578 85431 -1,62378 <_____> 1518,47 <Интегр-Навиг> 62,1545 0,0210547 -0,741865 -3,51226 2,04628 0 55,76367864678 37,72265421337 161,22312927246 -0,701639 8,65914 1,11928
677,51403808594 85827 -1,62378 <_____> 1520,49 <Интегр-Навиг> 62,1645 0,0442497 -0,726648 -3,50527 2,03507 0 55,76367498732 37,72265613530 161,30165100098 -0,658564 8,64887 0,816408
677,06298828125 86220 -1,624 <_____> 1520,89 <Интегр-Навиг> 62,1414 0,0706524 -0,698994 -3,51514 2,06614 0 55,76367154162 37,72265971526 161,29962158203 -0,85839 9,40455 -0,0280226
676,61187744141 86602 -1,62378 <_____> 1521,3 <Интегр-Навиг> 62,1345 0,00922848 -0,688301 -3,63811 2,11732 0 55,76366790552 37,72266152925 161,33229064941 0,524983 10,0801 -0,407917
676,16082763672 86981 -1,624 <_____> 1521,3 <Интегр-Навиг> 62,1059 -0,0314481 -0,675986 -3,74585 2,16208 0 55,76366443225 37,72266511045 161,33079528809 -0,472887 9,28925 1,06418
675,70977783203 87346 -1,62378 <_____> 1521,1 <Интегр-Навиг> 62,1291 0,0988889 -0,647717 -3,87424 2,27486 0 55,76366096848 37,72266867604 161,32865905762 -0,0596491 9,69032 0,123971
675,25866699219 87696 -1,62378 <_____> 1520,89 <Интегр-Навиг> 62,154 0,0603994 -0,660472 -4,05921 2,33607 0 55,76365754454 37,72267171127 161,34094238281 -0,0597213 9,4781 0,917971
674,80761718750 88039 -1,62378 <_____> 1520,49 <Интегр-Навиг> 62,1506 0,0958406 -0,659451 -4,03529 2,32631 0 55,76365405224 37,72267528317 161,33966064453 -0,267308 9,37901 0,724836
674,35650634766 88392 -3,24778 <_____> 1520,09 <Интегр-Навиг> 62,1554 -0,0170373 -0,646774 -3,84737 2,22464 0 55,76365056488 37,72267885522 161,33805847168 -0,567559 9,22749 0,115352
