Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-732,54516601563 190128 -1,62378 <_____> 1507,76 <Интегр-Навиг> 61,9442 0,158527 -0,601874 -3,0357 1,81464 0 55,76251723110 37,72377809371 167,20252990723 0,702975 11,4626 -0,536375
-732,99621582031 190560 -1,624 <_____> 1508,37 <Интегр-Навиг> 61,9997 0,196846 -0,596769 -2,99424 1,77758 0 55,76251339400 37,72378037426 167,24293518066 0,727619 10,7795 0,745166
-733,44732666016 190983 -1,62378 <_____> 1508,57 <Интегр-Навиг> 62,0109 0,144386 -0,601804 -3,10597 1,8433 0 55,76251019147 37,72378373472 167,27961730957 -0,70417 9,47463 -0,98557
-733,89837646484 191400 -1,624 <_____> 1508,97 <Интегр-Навиг> 62,0026 0,109323 -0,59793 -3,0132 1,79038 0 55,76250615622 37,72378776878 167,29498291016 -0,11696 9,73267 -2,00775
-734,34942626953 191828 -1,62378 Piket 1508,97 <Интегр-Навиг> 61,9801 0,141677 -0,601756 -3,12691 1,84497 0 55,76250293669 37,72379114726 167,33218383789 0,756326 10,8892 0,821966
-734,80053710938 192234 -1,62378 <_____> 1508,57 <Интегр-Навиг> 61,9904 0,0943943 -0,595222 -3,23208 1,87973 0 55,76249969664 37,72379453164 167,36769104004 -1,35009 8,52573 0,319682
-735,25158691406 192650 -1,624 <_____> 1508,77 <Интегр-Навиг> 62,0408 0,10943 -0,569744 -3,02587 1,7839 0 55,76249603759 37,72379690482 167,37138366699 0,134028 10,7042 -1,13625
-735,70269775391 193068 -1,62378 <_____> 1509,18 <Интегр-Навиг> 62,0839 0,122426 -0,558436 -3,18786 1,8828 0 55,76249278849 37,72380028969 167,40750122070 0,880762 10,452 0,512524
-736,15374755859 193478 -1,624 <_____> 1509,58 <Интегр-Навиг> 62,0699 0,109027 -0,539131 -3,12784 1,83978 0 55,76248925450 37,72380295983 167,38107299805 0,814609 10,8803 0,310807
-736,60479736328 193897 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,9864 0,0868505 -0,516283 -3,09645 1,82754 0 55,76248607177 37,72380627484 167,41546630859 -0,124157 10,6372 -1,30435
-737,05590820313 194314 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9034 0,0806479 -0,487314 -3,042 1,8016 0 55,76248281623 37,72380967457 167,45054626465 -0,203922 10,4167 -1,74288
-737,50695800781 194749 -1,624 <_____> 1510,19 <Интегр-Навиг> 61,8855 0,142517 -0,465493 -2,94442 1,7311 0 55,76247900341 37,72381132276 167,38420104980 0,737309 10,2405 1,20705
-737,95806884766 195184 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,8968 0,0875648 -0,44388 -2,95993 1,73931 0 55,76247579439 37,72381468248 167,41818237305 -1,0216 8,34504 -0,0754073
-738,40911865234 195623 -1,624 <_____> 1509,58 <Интегр-Навиг> 61,9604 0,0888455 -0,441759 -2,89947 1,70774 0 55,76247239541 37,72381790068 167,30287170410 -0,254291 9,81485 -1,33836
-738,86016845703 196053 0 <_____> 1509,18 <Интегр-Навиг> 62,0331 0,0556169 -0,421408 -3,05074 1,80071 0 55,76246915110 37,72382127414 167,33351135254 0,256667 10,7452 -0,6345
-739,31127929688 196473 -1,62378 <_____> 1509,18 <Интегр-Навиг> 62,1157 0,0141063 -0,417716 -3,06088 1,78033 0 55,76246549846 37,72382419524 167,16075134277 0,419108 9,63343 1,12318
-739,76232910156 196903 -1,624 <_____> 1509,58 <Интегр-Навиг> 62,0921 0,0778863 -0,417614 -3,02185 1,77616 0 55,76246230005 37,72382751172 167,18667602539 -0,278609 9,94541 -0,83841
-740,21343994141 197324 -1,62378 <_____> 1509,78 <Интегр-Навиг> 62,0421 0,0393754 -0,40868 -3,03036 1,77341 0 55,76245905075 37,72383088192 167,21250915527 -0,47744 10,0643 -1,08857
-740,66448974609 197757 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,9475 0,0936474 -0,394034 -2,97261 1,72801 0 55,76245533286 37,72383428559 166,98397827148 -0,206142 9,4203 1,68033
-741,11553955078 198187 -1,62378 <_____> 1509,98 <Интегр-Навиг> 61,8873 0,103871 -0,378015 -3,05138 1,77672 0 55,76245210076 37,72383765579 167,00427246094 -0,632852 7,94494 0,821385
-741,56665039063 198608 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,8821 0,117749 -0,371088 -3,03852 1,78727 0 55,76244818433 37,72384068163 166,75164794922 0,466935 10,8095 -1,66903
-742,01770019531 199036 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,9278 0,149807 -0,358561 -3,06421 1,78379 0 55,76244496785 37,72384402457 166,76550292969 0,329705 9,44914 1,57994
-742,46881103516 199460 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,9748 0,117055 -0,344732 -3,0119 1,73681 0 55,76244098625 37,72384734396 166,51913452148 -0,797334 8,31365 0,515436
-742,91986083984 199899 -1,624 <_____> 1510,19 <Интегр-Навиг> 61,9932 0,10229 -0,337848 -2,91102 1,71353 0 55,76243776318 37,72385069255 166,52767944336 -0,586444 9,37098 -0,960375
-743,37097167969 200325 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,9883 0,0859147 -0,322576 -3,08336 1,8102 0 55,76243454300 37,72385402697 166,53582763672 0,760216 10,9685 -0,211243
-743,82202148438 200747 -1,624 <_____> 1510,19 <Интегр-Навиг> 61,9596 0,138989 -0,293521 -2,97245 1,72708 0 55,76243053668 37,72385753991 166,29574584961 -1,06163 8,43177 0,336739
-744,27307128906 201182 -1,62378 Piket 1510,39 <Интегр-Навиг> 61,9501 0,0822818 -0,278837 -2,93884 1,7221 0 55,76242732935 37,72386086436 166,29869079590 -0,128205 10,455 -1,39623
-744,72418212891 201620 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9632 0,0877427 -0,260386 -2,93226 1,71139 0 55,76242303691 37,72386448418 166,06040954590 0,741028 10,9513 -0,505208
-745,17523193359 202066 0 <_____> 1510,59 <Интегр-Навиг> 61,9869 0,111623 -0,254103 -2,9581 1,72576 0 55,76241981523 37,72386782741 166,05790710449 0,450254 10,26 1,3856
-745,62634277344 202494 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,0079 0,071391 -0,23917 -3,04638 1,7723 0 55,76241564941 37,72387132012 165,76708984375 -0,904089 9,40734 -1,0329
-746,07739257813 202928 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,0066 0,0874842 -0,225517 -2,92391 1,70177 0 55,76241243479 37,72387463848 165,75810241699 0,4171 10,664 -1,03456
-746,52844238281 203353 -1,62378 <_____> 1510,39 <Интегр-Навиг> 62,0022 0,0774988 -0,203607 -3,14319 1,81812 0 55,76240919671 37,72387797497 165,48445129395 0,922573 10,1274 0,947293
-746,97955322266 203771 -1,62378 <_____> 1509,98 <Интегр-Навиг> 61,9759 0,0649744 -0,175007 -3,0392 1,7563 0 55,76240472118 37,72388141090 165,46998596191 0,584344 10,0303 1,18325
-747,43060302734 204204 -1,624 <_____> 1509,18 <Интегр-Навиг> 61,9811 0,128173 -0,140714 -3,01075 1,74288 0 55,76240153880 37,72388468533 165,45515441895 0,149402 11,0663 -0,947044
-747,88171386719 204627 -1,62378 <_____> 1508,57 <Интегр-Навиг> 62,0257 0,163645 -0,0918089 -3,08275 1,80687 0 55,76239714973 37,72388815429 165,19561767578 0,81094 11,068 0,255015
-748,33276367188 205054 -1,624 <_____> 1508,17 <Интегр-Навиг> 62,0513 0,224499 -0,0548643 -3,04407 1,74045 0 55,76239392512 37,72389146163 165,17524719238 -0,814752 8,58607 1,15055
-748,78381347656 205467 -1,62378 <_____> 1508,17 <Интегр-Навиг> 62,08 0,191581 -0,019436 -3,21729 1,83966 0 55,76238961861 37,72389448165 164,92436218262 -0,277893 10,3118 -1,06759
-749,23492431641 205877 -1,62378 <_____> 1508,37 <Интегр-Навиг> 62,1257 0,114026 -0,000319518 -3,12065 1,77393 0 55,76238639863 37,72389774941 164,89999389648 0,656421 9,62494 1,38473
-749,68597412109 206296 -1,624 <_____> 1508,97 <Интегр-Навиг> 62,2019 0,107756 -0,00859489 -3,19692 1,81187 0 55,76238313499 37,72390106426 164,87461853027 -0,565072 8,49941 0,77734
-750,13708496094 206701 -1,62378 <_____> 1509,18 <Интегр-Навиг> 62,2584 0,0470264 -0,0507155 -3,23934 1,84223 0 55,76237873779 37,72390354021 164,64868164063 -0,726014 9,06176 -0,63177
-750,58813476563 207110 -1,624 <_____> 1509,78 <Интегр-Навиг> 62,1873 0,0268604 -0,0963375 -3,12959 1,79707 0 55,76237551061 37,72390681594 164,61929321289 -0,180817 10,8513 -0,819128
-751,03918457031 207514 -1,62378 <_____> 1510,19 <Интегр-Навиг> 62,028 0,291074 -0,0909954 -3,29865 1,89377 0 55,76237134092 37,72390961728 164,41192626953 0,594087 10,7853 0,0412646
-751,49029541016 207912 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,9014 0,387729 -0,0791806 -3,23664 1,84871 0 55,76236807179 37,72391292716 164,37890625000 0,13231 10,2755 -0,095576
-751,94134521484 208310 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,872 0,436866 -0,0651586 -3,33923 1,91319 0 55,76236486474 37,72391619049 164,34504699707 0,216229 10,4285 -0,363639
-752,39245605469 208697 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,9255 0,305211 0,0187115 -3,3661 1,92166 0 55,76236071077 37,72391854666 164,15325927734 -0,318692 9,2525 0,262944
-752,84350585938 209091 -1,624 <_____> 1509,18 <Интегр-Навиг> 61,9587 0,108449 0,0708054 -3,32444 1,89251 0 55,76235741401 37,72392188512 164,11776733398 -0,115861 9,16605 1,18885
-753,29455566406 209479 -1,62378 <_____> 1509,18 <Интегр-Навиг> 61,9772 -0,0176027 0,136051 -3,39736 1,92082 0 55,76235323543 37,72392390820 163,98728942871 -0,549906 8,21393 0,108651
-753,74566650391 209872 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,9414 -0,00136348 0,174599 -3,23224 1,84002 0 55,76234996856 37,72392719972 163,95234680176 -0,279646 9,8918 -0,887487
-754,19671630859 210273 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,9672 -0,0202464 0,238561 -3,33045 1,89678 0 55,76234671485 37,72393048401 163,91667175293 1,1749 10,3476 0,170876
-754,64782714844 210668 -1,62378 Piket 1510,39 <Интегр-Навиг> 61,9585 -0,0962291 0,296115 -3,24837 1,83664 0 55,76234296419 37,72393439978 163,89068603516 -0,869957 8,68695 0,0511431
-755,09887695313 211077 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,0046 -0,100741 0,350748 -3,23422 1,83766 0 55,76233972879 37,72393766461 163,85545349121 -0,113164 10,3874 -0,201249
-755,54992675781 211481 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,0879 -0,190838 0,381558 -3,23378 1,82759 0 55,76233585876 37,72394171482 163,93020629883 0,0208106 10,7369 -0,442032
-756,00103759766 211899 -1,62378 <_____> 1511,8 <Интегр-Навиг> 62,1857 -0,211138 0,422458 -3,0281 1,72482 0 55,76233258228 37,72394501640 163,89703369141 0,340352 10,7357 -0,339131
-756,45208740234 212316 -1,624 <_____> 1513,42 <Интегр-Навиг> 62,129 -0,172509 0,475648 -3,20655 1,84595 0 55,76232936884 37,72394826616 163,86425781250 0,388931 8,91948 0,234463
-756,90319824219 212727 -1,62378 <_____> 1515,03 <Интегр-Навиг> 62,0446 -0,0506729 0,494228 -3,12272 1,77892 0 55,76232549137 37,72395283260 164,00967407227 -0,185823 10,1597 -0,853488
-757,35424804688 213148 -1,624 <_____> 1517,26 <Интегр-Навиг> 62,0115 0,109691 0,540487 -3,11989 1,7714 0 55,76232226069 37,72395609204 163,97941589355 0,351952 10,0673 0,907173
-757,80529785156 213566 -1,62378 <_____> 1520,69 <Интегр-Навиг> 62,1113 0,129595 0,574745 -3,15059 1,77979 0 55,76231804417 37,72396054350 164,19151306152 -0,878628 9,1141 0,130209
-758,25640869141 213988 -1,62378 <_____> 1524,33 <Интегр-Навиг> 62,1646 0,114873 0,611475 -3,08189 1,76979 0 55,76231480592 37,72396381762 164,16607666016 0,385226 10,9117 -0,46069
-758,70745849609 214388 -1,624 <_____> 1527,56 <Интегр-Навиг> 62,1979 0,102812 0,643391 -3,40024 1,90966 0 55,76231154522 37,72396709888 164,14155578613 -1,14343 8,75706 0,646353
-759,15856933594 214770 -1,62378 <_____> 1531,4 <Интегр-Навиг> 62,1485 0,0346277 0,643811 -3,45051 1,96457 0 55,76230722250 37,72397264164 164,37622070313 1,19517 11,0059 -0,669075
-759,60961914063 215140 -1,624 <_____> 1535,44 <Интегр-Навиг> 62,081 0,0473339 0,655771 -3,72349 2,10471 0 55,76230391558 37,72397597253 164,35859680176 -0,0443589 10,0031 -0,734246
-760,06072998047 215490 -1,62378 <_____> 1537,86 <Интегр-Навиг> 62,0413 0,038605 0,651494 -3,78996 2,14771 0 55,76229920438 37,72398007063 164,61119079590 -0,472156 9,56697 -0,989509
-760,51177978516 215844 -1,624 <_____> 1539,89 <Интегр-Навиг> 62,0037 0,0283188 0,655003 -3,65795 2,06213 0 55,76229584105 37,72398345456 164,59921264648 0,401555 9,02504 1,56667
-760,96282958984 216207 -1,62378 <_____> 1540,69 <Интегр-Навиг> 61,9734 0,0620556 0,654788 -3,56523 2,02258 0 55,76229257635 37,72398675043 164,58695983887 0,0640315 10,2223 -1,52612
-761,41394042969 216584 -1,62378 <_____> 1541,1 <Интегр-Навиг> 61,9616 0,0636789 0,647722 -3,42464 1,9761 0 55,76228863826 37,72399037532 164,85542297363 1,10057 11,2358 -1,20387
-761,86499023438 216956 -1,624 <_____> 1540,9 <Интегр-Навиг> 61,9375 0,0864095 0,655765 -3,65725 2,10131 0 55,76228541616 37,72399363945 164,84846496582 0,524479 10,6852 -0,669623
-762,31610107422 217313 -1,62378 <_____> 1539,89 <Интегр-Навиг> 61,9104 0,0625163 0,64853 -3,70669 2,11932 0 55,76228209484 37,72399700839 164,84165954590 0,270441 9,98556 -1,03071
-762,76715087891 217668 -1,624 <_____> 1537,66 <Интегр-Навиг> 61,8963 0,0587869 0,643279 -3,78453 2,16426 0 55,76227836157 37,72399956434 165,12539672852 0,188393 9,81391 0,89967
-763,21820068359 218016 -1,624 <_____> 1535,84 <Интегр-Навиг> 61,8808 0,027607 0,652507 -3,76732 2,13459 0 55,76227507328 37,72400289166 165,12464904785 0,306332 9,64928 -0,324965
-763,66931152344 218370 -3,24756 <_____> 1534,23 <Интегр-Навиг> 61,9023 0,0487386 0,652483 -3,67027 2,09512 0 55,76227145272 37,72400699051 165,39271545410 0,329504 10,4126 -1,25568
-764,12036132813 218729 -1,624 <_____> 1531,8 <Интегр-Навиг> 61,9126 0,0110574 0,655986 -3,70815 2,13245 0 55,76226815010 37,72401034545 165,39727783203 -0,200804 9,30999 0,141154
-764,57147216797 219087 -1,62378 Piket 1529,38 <Интегр-Навиг> 61,9012 0,0197081 0,678881 -3,64962 2,07071 0 55,76226484271 37,72401370550 165,40182495117 -0,210952 8,9146 1,15101
-765,02252197266 219452 -1,624 <_____> 1527,36 <Интегр-Навиг> 61,8604 0,0559062 0,680344 -3,64133 2,05252 0 55,76226099935 37,72401617841 165,66709899902 -0,45431 9,22733 0,975208
-765,47357177734 219812 -1,62378 <_____> 1524,73 <Интегр-Навиг> 61,9045 -0,0172142 0,724715 -3,61876 2,06881 0 55,76225770912 37,72401950806 165,67715454102 0,298988 10,1499 -0,826562
-765,92468261719 220183 -1,62378 <_____> 1522,51 <Интегр-Навиг> 61,9514 -0,0181586 0,74245 -3,51021 2,01567 0 55,76225446029 37,72402279947 165,68717956543 -0,598737 8,76659 1,1463
-766,37573242188 220549 -1,624 <_____> 1519,28 <Интегр-Навиг> 61,9895 -0,0522908 0,744957 -3,6175 2,08677 0 55,76225069460 37,72402620582 165,96099853516 0,172309 9,69364 -0,00339793
-766,82684326172 220917 -1,62378 <_____> 1517,05 <Интегр-Навиг> 61,9869 -0,014553 0,746576 -3,54614 2,01947 0 55,76224741609 37,72402951742 165,97624206543 0,646017 10,5792 -0,849814
-767,27789306641 221289 -1,624 <_____> 1514,63 <Интегр-Навиг> 61,9701 0,0363008 0,752711 -3,59607 2,05196 0 55,76224412470 37,72403284964 165,99154663086 0,396118 10,0639 0,302577
-767,72894287109 221657 -1,62378 <_____> 1512,21 <Интегр-Навиг> 61,9498 0,0647975 0,744751 -3,58106 2,04451 0 55,76224042253 37,72403719486 166,25175476074 -0,291743 9,07098 0,0372673
-768,18005371094 222026 -1,62378 <_____> 1510,79 <Интегр-Навиг> 61,9638 0,0242081 0,730463 -3,57385 2,03451 0 55,76223710841 37,72404055082 166,27180480957 -0,482834 9,16097 0,512635
-768,63110351563 222390 -3,24778 <_____> 1509,78 <Интегр-Навиг> 62,0211 0,0352652 0,722275 -3,65401 2,07733 0 55,76223385056 37,72404384775 166,52021789551 -0,146582 9,75122 0,114884
-769,08221435547 222756 -1,62378 <_____> 1509,18 <Интегр-Навиг> 62,0776 0,0199504 0,703746 -3,5733 2,03163 0 55,76222993951 37,72404866313 166,54499816895 -0,806996 8,62998 0,646062
-769,53326416016 223120 -1,624 <_____> 1508,77 <Интегр-Навиг> 62,1172 -0,03833 0,70009 -3,68809 2,08579 0 55,76222663087 37,72405200637 166,56974792480 -0,219884 9,28724 0,2677
-769,98431396484 223478 -1,62378 <_____> 1507,96 <Интегр-Навиг> 62,123 -0,0906435 0,686493 -3,64071 2,07618 0 55,76222234333 37,72405564934 166,83543395996 0,181298 10,005 -0,673501
-770,43542480469 223841 -1,62378 <_____> 1507,56 <Интегр-Навиг> 62,0819 0,0076396 0,676175 -3,70841 2,12384 0 55,76221908138 37,72405893943 166,86500549316 0,164453 9,65866 1,16759
-770,88647460938 224192 -1,624 <_____> 1507,15 <Интегр-Навиг> 62,0128 -0,0218691 0,692313 -3,75397 2,14142 0 55,76221577691 37,72406227818 166,89395141602 0,397064 9,17383 0,750663
-771,33758544922 224548 -1,62378 <_____> 1505,74 <Интегр-Навиг> 61,9065 0,0350869 0,692345 -3,63083 2,07651 0 55,76221226158 37,72406548285 167,15487670898 0,548698 9,87692 -0,889367
-771,78863525391 224906 -1,624 <_____> 1505,74 <Интегр-Навиг> 61,8875 0,015975 0,704979 -3,74627 2,13377 0 55,76220895956 37,72406883614 167,18850708008 0,305347 10,2402 -0,211935
-772,23974609375 225262 -1,62378 <_____> 1505,74 <Интегр-Навиг> 61,9079 0,0417064 0,72488 -3,66875 2,09981 0 55,76220568416 37,72407216282 167,22131347656 0,0130227 9,46063 0,00704732
-772,69079589844 225624 -1,62378 <_____> 1505,74 <Интегр-Навиг> 61,922 0,075907 0,717333 -3,71446 2,13799 0 55,76220168061 37,72407593121 167,43064880371 0,380891 10,193 -0,128028
-773,14184570313 225975 -3,24778 <_____> 1505,94 <Интегр-Навиг> 61,9585 -0,0277283 0,727275 -3,74848 2,14439 0 55,76219836776 37,72407929520 167,46710205078 -0,338794 9,40576 0,784791
-773,59295654297 226335 -1,62378 <_____> 1505,54 <Интегр-Навиг> 61,9124 -0,0149641 0,721861 -3,58941 2,05448 0 55,76219507872 37,72408263968 167,62930297852 -1,13227 8,56889 0,32565
-774,04400634766 226699 -1,624 <_____> 1505,54 <Интегр-Навиг> 61,8664 0,00432942 0,730648 -3,60734 2,05696 0 55,76219165321 37,72408546874 167,67005920410 -0,536746 8,86131 0,650839
-774,49511718750 227064 -1,62378 Piket 1505,54 <Интегр-Навиг> 61,833 -0,0484489 0,733579 -3,57897 2,04697 0 55,76218841872 37,72408876654 167,70970153809 0,254483 10,1079 0,0927246
-774,94616699219 227433 -1,624 <_____> 1505,54 <Интегр-Навиг> 61,8293 0,0100412 0,744585 -3,62072 2,08737 0 55,76218445000 37,72409254544 167,84413146973 0,152232 10,3888 -0,132279
-775,39721679688 227802 -1,62378 <_____> 1505,54 <Интегр-Навиг> 61,8575 0,00360715 0,742762 -3,48947 2,01984 0 55,76218120200 37,72409586148 167,88653564453 0,303299 10,3084 -0,494973
-775,84832763672 228184 -1,62378 <_____> 1505,74 <Интегр-Навиг> 61,8775 0,00330381 0,700553 -3,43564 1,98307 0 55,76217788740 37,72409925394 167,93087768555 -0,749588 9,50862 -0,479437
-776,29937744141 228561 -1,624 <_____> 1505,54 <Интегр-Навиг> 61,884 0,00266855 0,673551 -3,48973 2,01414 0 55,76217375045 37,72410393549 168,06219482422 -0,013137 9,41604 0,66971
-776,75048828125 228940 -1,62378 <_____> 1505,34 <Интегр-Навиг> 61,8584 0,00927701 0,641477 -3,43125 1,9596 0 55,76217046188 37,72410731091 168,10795593262 -0,91478 8,86837 0,500537
-777,20153808594 229322 -1,624 <_____> 1505,34 <Интегр-Навиг> 61,8938 -0,00474223 0,59503 -3,47077 1,98843 0 55,76216719904 37,72411064912 168,15336608887 0,327876 10,4944 -0,576376
-777,65258789063 229700 -1,62378 <_____> 1504,93 <Интегр-Навиг> 62,0104 0,0121564 0,577009 -3,46749 1,99751 0 55,76216313143 37,72411275539 168,26583862305 0,776372 10,2861 -0,589728
-778,10369873047 230084 -1,62378 <_____> 1505,34 <Интегр-Навиг> 62,053 0,116053 0,554565 -3,4481 1,97012 0 55,76215988492 37,72411606619 168,31268310547 -0,966675 8,7752 0,0647821
-778,55474853516 230458 -1,624 <_____> 1504,93 <Интегр-Навиг> 62,002 0,12941 0,575609 -3,55644 1,99802 0 55,76215606237 37,72411865209 168,36938476563 0,0818525 9,75724 0,915663
-779,00585937500 230841 -1,62378 <_____> 1503,92 <Интегр-Навиг> 61,9796 0,100407 0,595649 -3,28709 1,88649 0 55,76215280427 37,72412195335 168,41651916504 0,439362 10,5339 -0,913169
-779,45690917969 231237 -1,624 <_____> 1502,91 <Интегр-Навиг> 62,0006 0,135508 0,612569 -3,43402 1,95098 0 55,76214955412 37,72412525610 168,46493530273 -0,929315 9,08181 0,587051
-779,90795898438 231607 -1,624 <_____> 1502,51 <Интегр-Навиг> 62,0041 0,168132 0,633726 -3,63151 2,07164 0 55,76214560945 37,72412911273 168,42204284668 -0,337991 9,63133 -0,0195655
-780,35906982422 231975 -3,24756 <_____> 1502,31 <Интегр-Навиг> 62,0319 0,134268 0,643001 -3,53534 2,01714 0 55,76214231791 37,72413244078 168,46565246582 0,398366 10,4771 -0,857306
-780,81011962891 232348 -1,624 <_____> 1502,1 <Интегр-Навиг> 62,0332 0,115204 0,65976 -3,53842 2,01128 0 55,76213903123 37,72413576176 168,50987243652 -0,0738124 9,49825 0,727788
-781,26123046875 232723 -1,62378 <_____> 1502,1 <Интегр-Навиг> 62,0641 0,141807 0,645444 -3,52766 2,0186 0 55,76213465336 37,72413834823 168,40147399902 0,264673 10,0805 -0,321311
-781,71228027344 233098 -1,624 <_____> 1502,1 <Интегр-Навиг> 62,0747 0,208889 0,650561 -3,55923 2,02578 0 55,76213131345 37,72414171415 168,44335937500 -0,359457 9,23739 0,0745975
-782,16333007813 233451 -1,62378 <_____> 1502,51 <Интегр-Навиг> 62,0935 0,266107 0,627673 -3,95091 2,20275 0 55,76212703109 37,72414438791 168,27030944824 0,0643246 10,2022 -0,0643108
-782,61444091797 233786 -1,62378 <_____> 1502,71 <Интегр-Навиг> 62,1154 0,22828 0,622876 -4,02868 2,26028 0 55,76212371385 37,72414769566 168,30308532715 -0,666014 8,5983 -0,0214819
-783,06549072266 234120 -1,624 <_____> 1502,71 <Интегр-Навиг> 62,1459 0,169132 0,621734 -4,00982 2,24989 0 55,76212038628 37,72415100990 168,33551025391 0,363327 9,95494 -0,754708
-783,51660156250 234442 -1,62378 <_____> 1503,11 <Интегр-Навиг> 62,1563 0,155807 0,593462 -4,27558 2,37743 0 55,76211608689 37,72415428641 168,09255981445 -0,184436 9,14086 1,00273
-783,96765136719 234755 -1,62378 <_____> 1503,72 <Интегр-Навиг> 62,147 0,18843 0,568838 -4,28942 2,39612 0 55,76211272183 37,72415762198 168,11878967285 0,0489668 9,7087 -0,320637
-784,41870117188 235068 -3,24778 Piket 1504,53 <Интегр-Навиг> 62,0816 0,123146 0,532597 -4,22177 2,37339 0 55,76210939092 37,72416094090 168,14509582520 0,385989 10,3637 -1,47565
-784,86981201172 235388 -1,62378 <_____> 1505,54 <Интегр-Навиг> 61,9847 0,116194 0,510502 -4,18604 2,36084 0 55,76210604995 37,72416426968 167,85408020020 0,309104 9,93439 0,999357
-785,32086181641 235708 -1,624 <_____> 1506,35 <Интегр-Навиг> 61,9203 0,142188 0,462898 -4,16862 2,34979 0 55,76210167068 37,72416705865 167,87574768066 -0,177383 9,23864 0,407858
-785,77197265625 236032 -1,62378 <_____> 1507,15 <Интегр-Навиг> 61,8895 0,199193 0,424371 -4,10031 2,30868 0 55,76209829683 37,72417044429 167,89752197266 -0,0762453 9,10317 0,400201
-786,22302246094 236359 -1,62378 <_____> 1507,56 <Интегр-Навиг> 61,8575 0,219228 0,395378 -4,08666 2,3255 0 55,76209496905 37,72417378917 167,59815979004 -0,078992 10,3342 -1,18294
-786,67407226563 236686 -3,24778 <_____> 1507,56 <Интегр-Навиг> 61,8722 0,213384 0,352943 -4,09871 2,31467 0 55,76209025532 37,72417747108 167,61460876465 0,35597 9,79603 1,03315
-787,12518310547 237016 -1,62378 <_____> 1507,56 <Интегр-Навиг> 61,912 0,0824128 0,301282 -3,99128 2,25924 0 55,76208694855 37,72418079113 167,63104248047 -0,312808 10,1509 -1,37516
-787,57623291016 237349 -1,624 <_____> 1507,56 <Интегр-Навиг> 61,9504 0,0194593 0,24149 -4,09166 2,30612 0 55,76208361361 37,72418413959 167,64788818359 0,330866 9,97912 -0,116593
-788,02734375000 237678 -1,62378 <_____> 1507,56 <Интегр-Навиг> 61,9548 0,0280721 0,188812 -4,01891 2,26496 0 55,76207963316 37,72418654365 167,34515380859 0,104153 10,6216 -1,29857
-788,47839355469 238016 -1,62378 <_____> 1507,15 <Интегр-Навиг> 61,981 0,051675 0,13326 -3,92675 2,2085 0 55,76207635291 37,72418983119 167,35725402832 -0,373616 9,9549 -0,427479
-788,92950439453 238349 -3,24778 <_____> 1506,55 <Интегр-Навиг> 61,996 0,0130096 0,0811136 -4,09916 2,30535 0 55,76207300963 37,72419317360 167,09408569336 1,14034 10,4152 -0,521858
-789,38055419922 238677 -1,624 <_____> 1506,55 <Интегр-Навиг> 61,9697 -0,0772098 0,0429224 -4,05643 2,27751 0 55,76206922541 37,72419462107 167,10218811035 -0,74072 9,90818 -0,97128
-789,83160400391 239007 -1,62378 <_____> 1507,15 <Интегр-Навиг> 61,9143 -0,042086 0,0110532 -4,06482 2,27396 0 55,76206592832 37,72419790847 167,11015319824 0,0439119 9,61614 1,26324
-790,28271484375 239329 -1,62378 <_____> 1507,56 <Интегр-Навиг> 61,8659 -0,141457 -0,00948722 -4,23954 2,37391 0 55,76206259992 37,72420122368 167,11817932129 0,0695167 10,2435 -1,40689
-790,73376464844 239648 -1,624 <_____> 1507,56 <Интегр-Навиг> 61,878 -0,103256 -0,00801947 -4,1536 2,35007 0 55,76205885541 37,72420439332 166,92311096191 0,704016 10,832 -0,271224
-791,18487548828 239976 -1,624 <_____> 1507,76 <Интегр-Навиг> 61,86 -0,0950031 -0,00425784 -4,02595 2,27518 0 55,76205552998 37,72420771377 166,92849731445 -0,165506 9,25331 -0,0465552
-791,63592529297 240300 -3,24778 <_____> 1507,56 <Интегр-Навиг> 61,893 -0,0825241 -0,0266687 -4,28346 2,39362 0 55,76205215961 37,72421107122 166,93341064453 -0,586701 9,70328 -0,751571
-792,08697509766 240614 -1,62378 <_____> 1507,56 <Интегр-Навиг> 61,9318 -0,0725268 -0,013 -4,25038 2,38832 0 55,76204843707 37,72421348509 166,70156860352 0,127289 10,0621 -0,894201
