Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-0,90214920044 2165 0 Strelka 1513,82 <Интегр-Навиг> 45,81 -0,682271 -0,359416 0,155878 -0,128967 0 55,75860173894 37,72839401097 172,03855895996 -0,0285772 9,86595 -0,0407451
19,84728240967 35348 1,62387 Piket 1484,53 <Интегр-Навиг> 45,8098 -0,428461 0,0447674 3,61608 -3,41501 0 55,75873456394 37,72816773494 168,66670227051 -0,0519399 9,96017 0,325527
20,29835700989 35678 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,8117 -0,321032 0,0726806 3,65586 -3,45736 0 55,75873688278 37,72816394244 168,59494018555 0,818334 10,3608 0,638894
20,74943161011 36006 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,7668 -0,392375 0,102862 3,68513 -3,49917 0 55,75873986901 37,72815890585 168,56455993652 -0,147352 9,93007 0,213701
21,20050621033 36335 3,24774 <_____> 1484,53 <Интегр-Навиг> 45,7276 -0,403671 0,131357 3,66498 -3,48235 0 55,75874290983 37,72815377393 168,53347778320 0,172111 9,52763 0,674399
21,65158081055 36657 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,7128 -0,381321 0,157849 3,72765 -3,5461 0 55,75874496468 37,72814991246 168,45214843750 0,207687 9,56088 -0,389057
22,10265541077 36977 1,62387 <_____> 1484,73 <Интегр-Навиг> 45,7245 -0,39425 0,185782 3,7699 -3,58183 0 55,75874795733 37,72814486459 168,42140197754 0,423392 10,0506 0,379316
22,55373001099 37292 1,62387 <_____> 1484,73 <Интегр-Навиг> 45,7096 -0,316667 0,227347 3,78334 -3,58986 0 55,75875092142 37,72813986400 168,39135742188 0,0228649 10,0497 -0,345428
23,00480461121 37609 1,62387 <_____> 1484,73 <Интегр-Навиг> 45,7545 -0,393855 0,254531 3,80727 -3,61166 0 55,75875409046 37,72813666061 168,32368469238 -0,339411 9,69324 -0,306226
23,45587921143 37920 3,24774 <_____> 1484,73 <Интегр-Навиг> 45,7626 -0,287469 0,300937 3,84896 -3,67206 0 55,75875709440 37,72813161225 168,29327392578 -0,240733 9,25584 -0,853607
23,90695381165 38230 1,62387 <_____> 1484,73 <Интегр-Навиг> 45,7665 -0,328006 0,327872 3,84763 -3,66448 0 55,75876004135 37,72812665942 168,26348876953 -0,278064 9,83189 0,103793
24,35802841187 38545 1,62387 <_____> 1485,54 <Интегр-Навиг> 45,7391 -0,31511 0,380031 3,79937 -3,59358 0 55,75876258387 37,72812235326 168,21292114258 0,0257802 9,97564 -0,0324482
24,80910301208 38857 1,62387 <_____> 1485,74 <Интегр-Навиг> 45,7869 -0,234327 0,396245 3,87101 -3,63739 0 55,75876557176 37,72811734207 168,18267822266 0,67327 10,5247 0,203927
25,26017761230 39167 1,62387 <_____> 1485,94 <Интегр-Навиг> 45,7963 -0,184131 0,398601 3,86581 -3,64732 0 55,75876860447 37,72811225979 168,15270996094 0,536947 9,64387 -0,235401
25,71125221252 39477 3,24774 <_____> 1486,55 <Интегр-Навиг> 45,7872 -0,0580226 0,378661 3,82581 -3,62773 0 55,75877156100 37,72810730570 168,10786437988 -0,0055132 9,62557 -0,296133
26,16232681274 39795 1,62387 <_____> 1487,35 <Интегр-Навиг> 45,7884 -0,0848043 0,352594 3,78884 -3,56903 0 55,75877391462 37,72810320329 168,07765197754 -0,282663 9,41033 -0,232489
26,61340141296 40111 1,62387 <_____> 1487,96 <Интегр-Навиг> 45,7986 -0,0605088 0,31206 3,80598 -3,5921 0 55,75877688751 37,72809822803 168,04812622070 -0,0806151 9,82234 0,193278
27,06447601318 40425 1,62387 <_____> 1488,97 <Интегр-Навиг> 45,8275 -0,0523712 0,261879 3,82701 -3,60391 0 55,75877986892 37,72809324303 168,01876831055 0,095244 9,64769 -0,556594
27,51555061340 40742 3,24774 <_____> 1489,58 <Интегр-Навиг> 45,7885 0,00437024 0,208594 3,7119 -3,52697 0 55,75878183684 37,72808903060 167,95314025879 0,767693 9,82998 -0,0408385
27,96662521362 41062 1,62387 <_____> 1489,98 <Интегр-Навиг> 45,9194 -0,0435978 0,141806 3,77087 -3,54948 0 55,75878482677 37,72808403722 167,92240905762 0,3612 10,0061 0,52419
28,41769981384 41377 1,62387 <_____> 1490,18 <Интегр-Навиг> 45,984 -0,0317879 0,0970671 3,8097 -3,59098 0 55,75878779761 37,72807907698 167,89237976074 -0,20222 9,78101 -0,474529
28,86877441406 41695 1,62387 <_____> 1490,59 <Интегр-Навиг> 46,0306 -0,182446 0,092622 3,79681 -3,57615 0 55,75879032090 37,72807540406 167,81428527832 -0,615466 10,0282 -0,188503
29,31984901428 42015 1,62387 <_____> 1490,99 <Интегр-Навиг> 45,993 -0,292802 0,0878539 3,67759 -3,46756 0 55,75879330302 37,72807042345 167,78222656250 -0,132504 9,45263 -0,250228
29,77092361450 42343 3,24774 Piket 1491,19 <Интегр-Навиг> 45,987 -0,312085 0,111713 3,69441 -3,46548 0 55,75879630666 37,72806541887 167,74891662598 0,743719 10,2535 0,413997
30,22199821472 42667 1,62387 <_____> 1491,19 <Интегр-Навиг> 45,939 -0,259328 0,140363 3,68383 -3,47601 0 55,75879861156 37,72806095508 167,69337463379 0,146713 9,93576 0,651948
30,67307281494 42993 1,62387 <_____> 1491,19 <Интегр-Навиг> 45,9166 -0,337698 0,16123 3,7143 -3,47371 0 55,75880155257 37,72805604390 167,66059875488 0,40313 9,70943 0,803917
