Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-1286,01367187500 41134 -3,248 <_____> 1493,21 <Интегр-Навиг> 45,7205 -0,232363 -0,0841907 4,1914 -4,0637 0 55,75865392125 37,72830332468 161,26678466797 0,634987 10,51 1,12852
-1286,46472167969 41408 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,6666 -0,337945 -0,0879275 4,1258 -4,03554 0 55,75865675208 37,72829844662 161,22978210449 -0,171613 9,578 -0,924014
-1286,91589355469 41679 -1,62378 <_____> 1492,41 <Интегр-Навиг> 45,642 -0,247663 -0,0924697 4,24421 -4,137 0 55,75866000696 37,72829280580 161,18762207031 -0,803669 9,62245 -0,599229
-1287,36694335938 41951 -3,248 <_____> 1491,19 <Интегр-Навиг> 45,615 -0,248746 -0,0723256 4,09294 -3,98878 0 55,75866285658 37,72828789410 161,15045166016 -0,463424 9,29063 0,0638952
-1287,81799316406 42230 -1,62378 <_____> 1491,19 <Интегр-Навиг> 45,5957 -0,00720684 -0,0599465 4,04548 -3,93858 0 55,75866565441 37,72828306979 161,11318969727 -0,349477 9,41568 -0,729959
-1288,26904296875 42521 -1,62378 Piket 1491,19 <Интегр-Навиг> 45,6566 -0,314484 -0,022112 3,89365 -3,79099 0 55,75866852700 37,72827811767 161,08132934570 -0,283014 9,75141 -1,18462
-1288,72009277344 42809 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,6571 -0,131508 -0,0064218 3,89309 -3,77743 0 55,75867189030 37,72827291328 161,04238891602 0,200776 9,60804 1,10897
-1289,17126464844 43099 -3,24756 <_____> 1492,41 <Интегр-Навиг> 45,7148 -0,438713 0,0443565 4,02937 -3,89872 0 55,75867476834 37,72826796594 161,00227355957 0,338221 9,83665 0,649896
-1289,62231445313 43382 -1,62422 <_____> 1492,81 <Интегр-Навиг> 45,7106 -0,385543 0,0680983 4,03373 -3,89789 0 55,75867758570 37,72826312202 160,96368408203 -0,18193 9,78259 -1,15802
-1290,07336425781 43662 -1,62422 <_____> 1493,01 <Интегр-Навиг> 45,7441 -0,476248 0,106002 4,0936 -3,98316 0 55,75868079831 37,72825696309 160,95060729980 -0,108404 9,56662 0,703225
-1290,52441406250 43942 -3,24756 <_____> 1493,01 <Интегр-Навиг> 45,7291 -0,426868 0,141289 4,05052 -3,92096 0 55,75868363948 37,72825207777 160,91218566895 0,496152 9,93381 0,980822
-1290,97546386719 44219 -1,62378 Piket 1493,01 <Интегр-Навиг> 45,7271 -0,377456 0,167432 4,1364 -4,00459 0 55,75868650440 37,72824715682 160,87359619141 0,402239 9,9517 -0,319622
-1291,42663574219 44499 -1,62378 <_____> 1492,61 <Интегр-Навиг> 45,6952 -0,383203 0,199246 4,09725 -3,9775 0 55,75868993202 37,72824234674 160,86364746094 0,0356261 9,46214 -0,987211
-1291,87768554688 44773 -3,248 <_____> 1491,4 <Интегр-Навиг> 45,6768 -0,186956 0,229419 4,15561 -4,00772 0 55,75869275836 37,72823748946 160,82658386230 0,698106 9,82883 1,37481
-1292,32873535156 45053 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,7045 -0,268181 0,261426 4,09005 -3,97207 0 55,75869563166 37,72823255723 160,78865051270 0,303866 9,94389 0,854529
-1292,77978515625 45336 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,6944 -0,178115 0,306496 3,93481 -3,81276 0 55,75869844986 37,72822771682 160,75088500977 -0,0547604 9,61401 0,319464
-1293,23083496094 45626 -1,62378 <_____> 1491,8 <Интегр-Навиг> 45,7385 -0,384061 0,3399 4,05063 -3,92141 0 55,75870234110 37,72822114128 160,74174499512 -0,310176 9,62312 -0,92176
-1293,68200683594 45905 -3,24756 <_____> 1491,4 <Интегр-Навиг> 45,7278 -0,307919 0,383593 4,17814 -4,025 0 55,75870521591 37,72821621320 160,70471191406 0,234347 9,84456 0,238054
-1294,13305664063 46178 -1,62422 <_____> 1491,8 <Интегр-Навиг> 45,7195 -0,0491622 0,38011 4,17224 -4,02991 0 55,75870806898 37,72821132594 160,66867065430 0,415949 10,0291 0,454708
-1294,58410644531 46459 -1,62422 <_____> 1491,4 <Интегр-Навиг> 45,7345 -0,045974 0,387362 4,00191 -3,8575 0 55,75871091582 37,72820645363 160,66279602051 0,121336 9,89549 -1,25946
-1295,03515625000 46745 -3,24756 <_____> 1491,19 <Интегр-Навиг> 45,7433 0,170791 0,357462 3,97983 -3,84566 0 55,75871511194 37,72820089662 160,62625122070 -0,274441 9,50395 -0,233527
-1295,48620605469 47032 -1,62378 <_____> 1491,6 <Интегр-Навиг> 45,8162 -0,170843 0,345061 4,07628 -3,89579 0 55,75871797308 37,72819602419 160,58987426758 0,451638 10,1042 0,570624
-1295,93737792969 47315 -1,62378 <_____> 1492,81 <Интегр-Навиг> 45,8145 0,0612073 0,299764 4,01328 -3,85588 0 55,75872081396 37,72819118708 160,55445861816 -0,345343 9,84219 0,177778
-1296,38842773438 47604 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7858 -0,0144507 0,252331 3,99683 -3,83683 0 55,75872421970 37,72818502153 160,53765869141 0,101752 9,66154 -0,704424
-1296,83947753906 47897 -3,248 <_____> 1493,42 <Интегр-Навиг> 45,7761 0,0626013 0,191367 3,92964 -3,76853 0 55,75872711764 37,72818008916 160,50068664551 0,225762 10,0098 0,0362655
-1297,29052734375 48191 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,794 -0,133389 0,145519 3,92604 -3,78122 0 55,75872998278 37,72817520559 160,46394348145 0,41201 9,72915 0,93913
-1297,74157714844 48486 -1,62378 <_____> 1492,81 <Интегр-Навиг> 45,7406 -0,129546 0,100877 3,87922 -3,75123 0 55,75873327102 37,72817073143 160,43473815918 -0,28263 9,79453 -0,933168
-1298,19274902344 48776 -3,24756 <_____> 1491,4 <Интегр-Навиг> 45,697 -0,209898 0,0943247 4,07768 -3,91709 0 55,75873611382 37,72816587011 160,39788818359 0,00908063 9,80324 -0,297682
-1298,64379882813 49054 -1,62422 Piket 1491,8 <Интегр-Навиг> 45,7278 -0,243913 0,089926 4,16333 -4,04422 0 55,75873899501 37,72816095364 160,36190795898 -0,464043 9,0221 -1,04746
-1299,09484863281 49331 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,7001 -0,0924189 0,120473 4,14162 -3,96989 0 55,75874184049 37,72815609036 160,32608032227 0,523361 10,0821 1,01092
-1299,54589843750 49611 -1,62378 <_____> 1491,4 <Интегр-Навиг> 45,7066 -0,139937 0,155512 4,07367 -3,93755 0 55,75874496993 37,72815024846 160,29693603516 -0,244037 9,78785 -0,438652
-1299,99694824219 49890 -3,24756 <_____> 1492,61 <Интегр-Навиг> 45,712 -0,0597058 0,164655 4,14075 -3,95669 0 55,75874777713 37,72814546195 160,26153564453 -0,198116 9,83751 -0,0522113
-1300,44812011719 50169 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,7295 -0,0527152 0,173475 4,15787 -3,98247 0 55,75875067159 37,72814052698 160,22557067871 -0,102363 9,84017 0,836916
-1300,89916992188 50445 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,7429 0,0801193 0,186018 4,11232 -3,95151 0 55,75875357937 37,72813557583 160,20019531250 -0,590378 9,88582 0,0382192
-1301,35021972656 50734 -3,248 <_____> 1493,42 <Интегр-Навиг> 45,7718 -0,229581 0,197257 3,96987 -3,83533 0 55,75875685838 37,72812859639 160,16387939453 0,138359 9,37621 0,370241
-1301,80126953125 51021 -1,62378 Piket 1493,42 <Интегр-Навиг> 45,7605 0,0623086 0,186894 3,98651 -3,84722 0 55,75875973274 37,72812369387 160,12756347656 -0,189812 10,1597 -0,812261
-1302,25231933594 51316 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,774 -0,187823 0,212788 3,8829 -3,72314 0 55,75876259482 37,72811880490 160,09062194824 0,458664 9,91495 0,72971
-1302,70349121094 51613 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,7653 -0,0951141 0,203708 3,8869 -3,74355 0 55,75876599623 37,72811273556 160,09919738770 0,0201247 9,81453 0,789393
