Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
18,04298400879 336568 1,62387 <_____> 1513,82 <Интегр-Навиг> 45,9366 -0,198761 -0,0808014 4,32431 -3,78803 0 55,75886196818 37,72815597228 172,32801818848 0,392335 10,4435 -0,164527
18,49405860901 336890 1,62387 <_____> 1514,23 <Интегр-Навиг> 45,912 -0,147563 -0,0755008 4,34811 -3,80842 0 55,75886543616 37,72815057567 172,32801818848 0,0458127 9,75914 0,330684
18,94513320923 337212 1,62387 <_____> 1514,43 <Интегр-Навиг> 45,9166 -0,176599 -0,0729154 4,31808 -3,78837 0 55,75886897452 37,72814506794 172,32801818848 -0,0534775 9,72888 1,44588
19,39620780945 337539 1,62387 <_____> 1514,43 <Интегр-Навиг> 45,9217 -0,340989 -0,0488084 4,29415 -3,7711 0 55,75887247168 37,72813962527 172,32801818848 -0,57058 9,33992 -0,197574
19,84728240967 337867 1,62387 Piket 1514,23 <Интегр-Навиг> 45,9424 -0,365393 -0,0232534 4,25915 -3,72302 0 55,75887595060 37,72813422214 172,32801818848 0,800463 10,2149 0,150407
20,29835700989 338193 3,24774 <_____> 1513,82 <Интегр-Навиг> 45,9226 -0,0600768 0,00240393 4,30782 -3,75812 0 55,75887945557 37,72812877790 172,32801818848 0,287475 9,80719 1,39752
20,74943161011 338527 1,62387 <_____> 1513,62 <Интегр-Навиг> 45,9422 -0,295654 0,0510596 4,14517 -3,61539 0 55,75888295821 37,72812334300 172,32801818848 -0,138484 9,80598 0,453513
21,20050621033 338870 1,62387 <_____> 1513,62 <Интегр-Навиг> 45,937 -0,311358 0,078657 4,09407 -3,56723 0 55,75888645194 37,72811793874 172,32801818848 0,558945 9,84661 0,189026
21,65158081055 339205 1,62387 <_____> 1513,62 <Интегр-Навиг> 45,9636 -0,453536 0,113895 4,25457 -3,72178 0 55,75888999890 37,72811244253 172,32801818848 0,231104 9,80589 0,815387
22,10265541077 339534 1,62387 <_____> 1513,42 <Интегр-Навиг> 45,946 -0,320194 0,147618 4,27398 -3,74592 0 55,75889348608 37,72810702461 172,32801818848 -0,17584 9,67826 0,266011
22,55373001099 339860 3,24774 <_____> 1512,41 <Интегр-Навиг> 45,9297 -0,268097 0,177697 4,3155 -3,77053 0 55,75889697737 37,72810160122 172,32801818848 0,0723999 10,1436 -0,984467
23,00480461121 340186 1,62387 <_____> 1510,79 <Интегр-Навиг> 45,9126 -0,330327 0,208088 4,36165 -3,82177 0 55,75890049583 37,72809612285 172,32801818848 0,229262 10,0514 -0,113601
23,45587921143 340502 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9315 -0,275438 0,23567 4,45041 -3,9168 0 55,75890394489 37,72809074211 172,32801818848 -0,178817 9,83969 -0,999656
23,90695381165 340813 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9648 -0,455611 0,282509 4,52985 -3,99405 0 55,75890744926 37,72808526716 172,32801818848 -0,167135 9,94144 -0,673727
24,35802841187 341121 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9558 -0,352446 0,319545 4,53105 -3,98088 0 55,75891091515 37,72807984850 172,32801818848 0,405263 9,94065 0,791035
24,80910301208 341426 3,24774 <_____> 1510,59 <Интегр-Навиг> 45,9772 -0,380033 0,365623 4,58937 -4,06663 0 55,75891440620 37,72807438840 172,32801818848 -0,0689118 9,47031 0,887403
25,26017761230 341724 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9599 -0,227806 0,392549 4,65181 -4,09306 0 55,75891780153 37,72806907602 172,32801818848 0,0916498 10,0249 0,908356
25,71125221252 342024 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9811 -0,306256 0,407646 4,66617 -4,12823 0 55,75892134968 37,72806352711 172,32801818848 -0,314906 9,79668 -1,3196
26,16232681274 342320 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9971 -0,178118 0,398257 4,65833 -4,09463 0 55,75892476108 37,72805819748 172,32801818848 -0,000715954 9,80295 0,793204
26,61340141296 342619 3,24774 <_____> 1510,59 <Интегр-Навиг> 46,033 -0,11453 0,382001 4,6932 -4,11919 0 55,75892825008 37,72805275422 172,32801818848 0,258591 9,80526 0,170051
27,06447601318 342915 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0488 -0,107496 0,349265 4,66212 -4,09609 0 55,75893167341 37,72804741411 172,32801818848 0,305108 9,68434 0,848196
27,51555061340 343212 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0721 0,0575011 0,295536 4,69846 -4,12519 0 55,75893518403 37,72804194158 172,32801818848 -0,0421463 9,73592 0,688541
27,96662521362 343510 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,0486 -0,0192707 0,249134 4,71105 -4,15175 0 55,75893860676 37,72803659894 172,32801818848 -0,0112841 9,8803 -1,15215
28,41769981384 343802 3,24774 <_____> 1510,59 <Интегр-Навиг> 46,0636 0,0832422 0,19052 4,73865 -4,16396 0 55,75894208498 37,72803117643 172,32801818848 0,306552 10,2447 0,888193
28,86877441406 344100 1,62387 <_____> 1510,59 <Интегр-Навиг> 46,048 -0,12697 0,121679 4,68781 -4,12494 0 55,75894559829 37,72802569860 172,32801818848 0,244007 10,0697 0,0636105
29,31984901428 344399 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9569 -0,02604 0,100624 4,58412 -4,07716 0 55,75894908375 37,72802025399 172,32801818848 -0,0319262 9,41718 1,46557
29,77092361450 344699 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,9776 -0,176496 0,072269 4,68519 -4,12623 0 55,75895256474 37,72801481570 172,32801818848 -0,522107 9,8067 -1,34557
30,22199821472 345001 3,24774 Piket 1510,59 <Интегр-Навиг> 45,9828 -0,139869 0,0931645 4,5893 -4,03023 0 55,75895602920 37,72800941383 172,32801818848 0,651915 10,1473 0,709458
30,67307281494 345305 1,62387 <_____> 1510,59 <Интегр-Навиг> 45,975 -0,14881 0,12017 4,59442 -4,01563 0 55,75895954108 37,72800395491 172,32801818848 0,0931083 9,87277 1,10566
31,12414741516 345616 1,62387 <_____> 1510,79 <Интегр-Навиг> 46,0006 -0,262207 0,145482 4,52355 -3,9486 0 55,75896301195 37,72799857267 172,32801818848 -0,10326 10,1434 -0,930828
31,57522201538 345921 1,62387 <_____> 1511,4 <Интегр-Навиг> 45,9972 -0,0656755 0,161938 4,5816 -3,99412 0 55,75896651179 37,72799314761 172,32801818848 0,133338 9,73678 1,11053
32,02629852295 346226 3,24774 <_____> 1511,8 <Интегр-Навиг> 46,0203 -0,129269 0,16828 4,6549 -4,06287 0 55,75897004083 37,72798767839 172,32801818848 0,185028 9,9822 0,475491
32,47737121582 346524 1,62388 <_____> 1512,21 <Интегр-Навиг> 46,0252 0,00233604 0,182705 4,68744 -4,071 0 55,75897354631 37,72798224739 172,32801818848 0,415885 9,77803 1,30463
32,92844390869 346825 1,62386 <_____> 1512,21 <Интегр-Навиг> 46,0456 -0,177047 0,189468 4,71389 -4,12054 0 55,75897703252 37,72797684919 172,32801818848 -0,317602 9,87184 -1,06575
33,37952041626 347120 1,62386 <_____> 1512,21 <Интегр-Навиг> 46,0692 -0,135482 0,189451 4,74614 -4,15497 0 55,75898049566 37,72797148136 172,32801818848 0,00513392 9,65859 0,578012
33,83059692383 347413 3,24774 <_____> 1512,21 <Интегр-Навиг> 46,0475 -0,177099 0,21018 4,78847 -4,19129 0 55,75898398267 37,72796607204 172,32801818848 0,168002 9,51187 0,698339
34,28166961670 347706 1,62388 <_____> 1511,4 <Интегр-Навиг> 46,0219 -0,0776572 0,208692 4,76743 -4,16549 0 55,75898747743 37,72796065494 172,32801818848 0,0476739 9,76913 -0,735638
34,73274230957 347998 1,62386 <_____> 1510,59 <Интегр-Навиг> 46,0634 -0,216755 0,22121 4,82609 -4,20753 0 55,75899097810 37,72795523611 172,32801818848 -0,0316161 10,0634 -1,13173
35,18381881714 348288 1,62386 <_____> 1510,59 <Интегр-Навиг> 46,0364 -0,180077 0,215626 4,82064 -4,20279 0 55,75899441880 37,72794990467 172,32801818848 -0,00608759 9,58499 -0,418155
35,63489532471 348580 3,24774 <_____> 1510,59 <Интегр-Навиг> 46,0409 -0,236483 0,212978 4,83367 -4,21301 0 55,75899793907 37,72794445655 172,32801818848 -0,00855559 10,1864 -1,23958
36,08596801758 348873 1,62388 <_____> 1510,59 <Интегр-Навиг> 46,0614 -0,315457 0,238273 4,7823 -4,16738 0 55,75900144632 37,72793903939 172,32801818848 0,180888 9,79171 -0,297238
