Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-675,20855712891 96214 1,624 <_____> 1520,69 <Интегр-Навиг> 46,0297 0,0599318 0,269434 3,07006 -3,47305 0 55,75873836825 37,72809041638 163,50871276855 0,0507371 9,65633 0,918256
-674,75750732422 96572 1,62378 <_____> 1521,1 <Интегр-Навиг> 46,0866 0,0712016 0,270886 3,09029 -3,47731 0 55,75874112709 37,72808487529 163,50486755371 0,309339 9,46209 1,5886
-674,30639648438 96924 1,62378 <_____> 1521,9 <Интегр-Навиг> 46,1267 0,0952741 0,264724 3,20687 -3,59159 0 55,75874399691 37,72808100816 163,61970520020 0,565809 10,6936 -0,362146
-673,85534667969 97272 1,624 <_____> 1521,9 <Интегр-Навиг> 46,0847 0,170797 0,268823 3,07956 -3,47681 0 55,75874678505 37,72807544983 163,61897277832 0,170778 10,3381 -0,378532
-673,40423583984 97629 1,624 <_____> 1521,7 <Интегр-Навиг> 46,1148 0,111162 0,282795 3,15663 -3,56009 0 55,75874951688 37,72806998475 163,61810302734 0,072134 9,09045 -0,119094
-672,95318603516 97975 3,24778 <_____> 1520,89 <Интегр-Навиг> 46,0623 0,18628 0,304401 3,14139 -3,53445 0 55,75875276767 37,72806590565 163,73440551758 -0,0542235 10,0758 -0,848103
-672,50213623047 98339 1,62378 <_____> 1520,49 <Интегр-Навиг> 46,0717 0,175399 0,299011 3,02887 -3,40432 0 55,75875555787 37,72806030742 163,73608398438 0,425446 10,6421 -0,834945
-672,05102539063 98694 1,62378 <_____> 1520,09 <Интегр-Навиг> 46,0661 0,193585 0,308461 3,21747 -3,57081 0 55,75875863942 37,72805658163 163,85154724121 0,604538 10,1741 1,41875
-671,59997558594 99042 1,624 <_____> 1519,48 <Интегр-Навиг> 46,0667 0,169096 0,295743 3,15157 -3,51244 0 55,75876139831 37,72805110635 163,85534667969 -0,251083 10,3586 -0,945305
-671,14886474609 99396 1,62378 <_____> 1519,28 <Интегр-Навиг> 46,0711 0,13195 0,295251 3,16585 -3,55146 0 55,75876415130 37,72804561926 163,85855102539 0,369154 9,16865 -0,380161
