Путь Курс Крен Тангаж
6.9 152.1372209799724 0.4668651540447079 -0.3189567812005194
7.1 152.1319339763202 0.4698745019840973 -0.3613152261940145
7.3 152.1151386096085 0.4838085595728677 -0.38521845715547826
7.5 152.07402152970513 0.48841383326697485 -0.3971913817281266
7.7 152.062258558638 0.4858841015734585 -0.42406640888628383
7.9 152.07779867620303 0.47671789913625634 -0.4648023040403696
8.1 152.05550195598158 0.46845272701273055 -0.46334167590682873
8.3 152.0300901431416 0.45840875881408416 -0.5002096161485244
8.5 152.03576779925007 0.451660530758161 -0.5227771069798395
8.7 152.01835265750557 0.4172374763895923 -0.5366156709367186
8.9 151.9907391235049 0.401868087023193 -0.5539978790561824
9.1 151.97695900003674 0.3810034691115678 -0.54843407719466
9.3 151.95882241263558 0.3535537403638991 -0.562291414163047
9.5 151.93332455152958 0.33935083267933863 -0.5478009441169813
9.7 151.92661245176512 0.32017139683852514 -0.5349070764846217
9.9 151.92173570656658 0.29367994211981585 -0.5399066491927368
10.1 151.91028101076617 0.2799795416437205 -0.5278582054892551
10.3 151.90219234447696 0.25596496497774995 -0.5016673151021915
10.5 151.90762464878773 0.2516118859813543 -0.5137944655448247
10.7 151.9025225571731 0.22607497760024464 -0.5012561087582932
10.9 151.89830907027914 0.21413972513940788 -0.5035541067895902
11.1 151.90236511848937 0.22160694554732885 -0.48108613071702394
11.3 151.89264333777697 0.20356746829026856 -0.472962928432613
11.5 151.87025944553747 0.1620868050325075 -0.4780228718036136
11.7 151.8488433314711 0.17533518528782566 -0.47188828764713503
11.9 151.85728508249076 0.16558941168839142 -0.44089665505734965
12.1 151.8410182458384 0.16675992967592712 -0.4524899728406772
12.3 151.8170059237772 0.15121353742813082 -0.4188198199933011
12.5 151.83441527045468 0.15593909753296908 -0.40651939733170606
12.7 151.82237771514022 0.1620264418330389 -0.39520404259828323
12.9 151.79683055185333 0.18392620689052497 -0.35936294855926754
13.1 151.80468877922178 0.19327813599662247 -0.34832819837171014
13.3 151.77069669006877 0.2159226011443307 -0.31169149646425287
13.5 151.99182943247902 0.26212433989225287 -0.34058472359198433
13.7 151.87987426785614 0.28011047458560023 -0.2627295099219862
13.9 151.81220467920244 0.23254880319385474 -0.19709704651960758
14.1 151.69876607831227 0.20793668514820587 -0.17836751009529284
14.3 151.68249774909845 0.21533825789925876 -0.17534155593743073
14.5 151.55010138773858 0.2003485052228402 0.0016881536056303492
14.7 151.49819372320835 0.2247228751377056 -0.04025071878450681
14.9 151.50666410521953 0.2425091093513374 -0.04528467819540327
15.1 151.56995966823982 0.254313107420688 -0.016807806266721514
15.3 151.5362685851167 0.2775038169127413 0.030112981079307932
15.5 151.51791952739475 0.32356801952398095 0.058333024248189425
15.7 151.55488982435006 0.3609639764879251 0.07746012821977089
15.9 151.5525124644286 0.389598672211779 0.07116249724515009
16.1 151.52969789588997 0.420644688216961 0.07605864748680183
16.3 151.55636607290683 0.44363760139191255 0.03601869639560862
