Путь Курс Крен Тангаж
28.5 151.88169548381236 -0.08481553477517578 -0.31896419840625034
28.7 151.86248061308876 -0.07638418709822514 -0.3249493852023424
28.9 151.8579999999978 -0.0748575350704138 -0.3272682178199494
29.1 151.86008130470645 -0.0671779856839898 -0.33176318634409574
29.3 151.86865668383865 -0.05047880054935705 -0.3415853836244922
29.5 151.86775893556566 -0.045456717943193725 -0.34630740852807684
29.7 151.86715975289067 -0.0426213992025668 -0.3563107661775726
29.9 151.86952908576745 -0.04136102030742861 -0.37068973806235284
30.1 151.87439763877438 -0.049080253599632195 -0.3940152456910244
30.3 151.88199999999995 -0.052056033983556294 -0.4249273130433
30.5 151.8725828898227 -0.05545202803090099 -0.455564904380946
30.7 151.84975969886003 -0.07831579985088166 -0.488820618443067
30.9 151.84388416123215 -0.08214304021033908 -0.46588106856414013
