Номер Координата    X   Y   H
1898,000 1265,497868 1000,917095 999,519624
1899,000 1266,955323 1000,971147 999,516626
1900,000 1268,412777 1001,025199 999,513627
1901,000 1269,870232 1001,079251 999,510628
1902,000 1271,327687 1001,133303 999,50763
1903,000 1272,785142 1001,187355 999,504631
1904,000 1274,242596 1001,241407 999,501632
1905,000 1275,700051 1001,295459 999,498633
1906,000 1277,157506 1001,349511 999,495635
1907,000 1278,613278 1001,403628 999,492879
1908,000 1280,056874 1001,45822 999,491885
1909,000 1281,50047 1001,512812 999,490892
1910,000 1282,944066 1001,567404 999,489898
1911,000 1284,387663 1001,621996 999,488904
1912,000 1285,831259 1001,676588 999,48791
1913,000 1287,274855 1001,73118 999,486916
1914,000 1288,718451 1001,785771 999,485922
1915,000 1290,162047 1001,840363 999,484928
1916,000 1291,605644 1001,894955 999,483934
1917,000 1293,04924 1001,949547 999,482941
1918,000 1294,492836 1002,004139 999,481947
1919,000 1295,936432 1002,058731 999,480953
1920,000 1297,380028 1002,113323 999,479959
1921,000 1298,823179 1002,168118 999,478803
1922,000 1300,254076 1002,228508 999,473175
1923,000 1301,684973 1002,288898 999,467548
1924,000 1303,115869 1002,349287 999,461921
1925,000 1304,546766 1002,409677 999,456294
1926,000 1305,977663 1002,470067 999,450666
1927,000 1307,408559 1002,530457 999,445039
1928,000 1308,839456 1002,590847 999,439412
1929,000 1310,270352 1002,651237 999,433785
1930,000 1311,701249 1002,711627 999,428158
1931,000 1313,132146 1002,772016 999,42253
1932,000 1314,563042 1002,832406 999,416903
1933,000 1315,993939 1002,892796 999,411276
1934,000 1317,424836 1002,953186 999,405649
1935,000 1318,855732 1003,013576 999,400021
1936,000 1320,283058 1003,072097 999,39413
1937,000 1321,706242 1003,12845 999,387933
1938,000 1323,129426 1003,184804 999,381735
1939,000 1324,55261 1003,241158 999,375538
1940,000 1325,975794 1003,297512 999,36934
1941,000 1327,398979 1003,353865 999,363143
1942,000 1328,822163 1003,410219 999,356945
1943,000 1330,245347 1003,466573 999,350748
1944,000 1331,668531 1003,522927 999,34455
1945,000 1333,091715 1003,57928 999,338353
1946,000 1334,5149 1003,635634 999,332155
1947,000 1335,938084 1003,691988 999,325958
1948,000 1337,361268 1003,748342 999,31976
1949,000 1338,784452 1003,804695 999,313563
1950,000 1340,200736 1003,860082 999,309175
1951,000 1341,612153 1003,914788 999,306063
1952,000 1343,023571 1003,969494 999,30295
1953,000 1344,434988 1004,024199 999,299838
1954,000 1345,846406 1004,078905 999,296726
1955,000 1347,257823 1004,13361 999,293614
1956,000 1348,66924 1004,188316 999,290502
1957,000 1350,080658 1004,243021 999,287389
1958,000 1351,492075 1004,297727 999,284277
1959,000 1352,903493 1004,352433 999,281165
1960,000 1354,31491 1004,407138 999,278053
1961,000 1355,726328 1004,461844 999,274941
1962,000 1357,137745 1004,516549 999,271828
1963,000 1358,549163 1004,571255 999,268716
1964,000 1359,959003 1004,62591 999,265958
1965,000 1361,358028 1004,680219 999,265628
1966,000 1362,757053 1004,734527 999,265298
1967,000 1364,156078 1004,788836 999,264968
1968,000 1365,555102 1004,843144 999,264638
1969,000 1366,954127 1004,897453 999,264308
1970,000 1368,353152 1004,951762 999,263978
1971,000 1369,752177 1005,00607 999,263648
1972,000 1371,151202 1005,060379 999,263318
1973,000 1372,550226 1005,114688 999,262989
1974,000 1373,949251 1005,168996 999,262659
1975,000 1375,348276 1005,223305 999,262329
1976,000 1376,747301 1005,277614 999,261999
1977,000 1378,146326 1005,331922 999,261669
1978,000 1379,54535 1005,386231 999,261339
1979,000 1380,944375 1005,440539 999,261009
1980,000 1382,335174 1005,493553 999,259887
1981,000 1383,725746 1005,54653 999,258743
1982,000 1385,116318 1005,599508 999,257599
1983,000 1386,50689 1005,652486 999,256455
1984,000 1387,897462 1005,705463 999,255311
1985,000 1389,288033 1005,758441 999,254167
1986,000 1390,678605 1005,811418 999,253023
1987,000 1392,069177 1005,864396 999,251879
1988,000 1393,459749 1005,917373 999,250736
1989,000 1394,850321 1005,970351 999,249592
1990,000 1396,240893 1006,023329 999,248448
1991,000 1397,631464 1006,076306 999,247304
1992,000 1399,022036 1006,129284 999,24616
1993,000 1400,412608 1006,182261 999,245016
1994,000 1401,793191 1006,235264 999,244932
1995,000 1403,173632 1006,288267 999,244862
1996,000 1404,554073 1006,34127 999,244793
1997,000 1405,934514 1006,394273 999,244723
1998,000 1407,314955 1006,447276 999,244654
1999,000 1408,695396 1006,500279 999,244584
2000,000 1410,075838 1006,553282 999,244515
2001,000 1411,456279 1006,606285 999,244445
2002,000 1412,83672 1006,659288 999,244376
2003,000 1414,217161 1006,712291 999,244306
2004,000 1415,597602 1006,765294 999,244237
2005,000 1416,978044 1006,818297 999,244167
2006,000 1418,358485 1006,871301 999,244098
2007,000 1419,738926 1006,924304 999,244028
2008,000 1421,115241 1006,975729 999,243716
2009,000 1422,488697 1007,026062 999,243236
2010,000 1423,862153 1007,076395 999,242756
2011,000 1425,235609 1007,126728 999,242276
2012,000 1426,609065 1007,177061 999,241796
2013,000 1427,982521 1007,227394 999,241316
2014,000 1429,355977 1007,277727 999,240836
2015,000 1430,729433 1007,328059 999,240356
2016,000 1432,102889 1007,378392 999,239876
2017,000 1433,476345 1007,428725 999,239396
2018,000 1434,849801 1007,479058 999,238916
2019,000 1436,223257 1007,529391 999,238436
2020,000 1437,596713 1007,579724 999,237956
2021,000 1438,970169 1007,630057 999,237476
2022,000 1440,34361 1007,680307 999,237002
2023,000 1441,715175 1007,720053 999,237215
2024,000 1443,08674 1007,759798 999,237427
2025,000 1444,458305 1007,799543 999,23764
2026,000 1445,82987 1007,839288 999,237853
2027,000 1447,201435 1007,879034 999,238066
2028,000 1448,572999 1007,918779 999,238279
2029,000 1449,944564 1007,958524 999,238492
2030,000 1451,316129 1007,998269 999,238705
2031,000 1452,687694 1008,038014 999,238918
2032,000 1454,059259 1008,07776 999,239131
2033,000 1455,430823 1008,117505 999,239344
2034,000 1456,802388 1008,15725 999,239557
2035,000 1458,173953 1008,196995 999,23977
2036,000 1459,545518 1008,23674 999,239983
2037,000 1460,926722 1008,252718 999,238347
2038,000 1462,308787 1008,266572 999,236546
2039,000 1463,690853 1008,280426 999,234745
2040,000 1465,072918 1008,294279 999,232944
2041,000 1466,454984 1008,308133 999,231143
2042,000 1467,837049 1008,321987 999,229342
2043,000 1469,219115 1008,335841 999,227541
2044,000 1470,60118 1008,349695 999,22574
2045,000 1471,983246 1008,363549 999,223939
2046,000 1473,365311 1008,377403 999,222138
2047,000 1474,747376 1008,391257 999,220337
2048,000 1476,129442 1008,405111 999,218536
2049,000 1477,511507 1008,418965 999,216735
2050,000 1478,893573 1008,432818 999,214934
2051,000 1480,285573 1008,426141 999,212601
2052,000 1481,688266 1008,397367 999,209696
2053,000 1483,090959 1008,368592 999,206791
2054,000 1484,493652 1008,339818 999,203885
2055,000 1485,896345 1008,311043 999,20098
2056,000 1487,299038 1008,282268 999,198075
2057,000 1488,701731 1008,253494 999,19517
2058,000 1490,104424 1008,224719 999,192265
