Номер Координата    X   Y   H
1710,000 973,247344 988,417929 999,940177
1711,000 974,795487 988,631256 999,936837
1712,000 976,343629 988,844583 999,933498
1713,000 977,891772 989,057909 999,930158
1714,000 979,460317 989,22972 999,930214
1715,000 981,029875 989,399468 999,930439
1716,000 982,599434 989,569217 999,930664
1717,000 984,168992 989,738966 999,930889
1718,000 985,73855 989,908715 999,931114
1719,000 987,308109 990,078464 999,931338
1720,000 988,877667 990,248213 999,931563
1721,000 990,447225 990,417961 999,931788
1722,000 992,016784 990,58771 999,932013
1723,000 993,586342 990,757459 999,932238
1724,000 995,1559 990,927208 999,932463
1725,000 996,725459 991,096957 999,932687
1726,000 998,295017 991,266705 999,932912
1727,000 999,882553 991,407561 999,932257
1728,000 1001,481609 991,529902 999,931037
1729,000 1003,080665 991,652243 999,929817
1730,000 1004,679721 991,774583 999,928597
1731,000 1006,278778 991,896924 999,927377
1732,000 1007,877834 992,019265 999,926157
1733,000 1009,47689 992,141606 999,924937
1734,000 1011,075946 992,263946 999,923717
1735,000 1012,675002 992,386287 999,922497
1736,000 1014,274058 992,508628 999,921277
1737,000 1015,873115 992,630969 999,920057
1738,000 1017,475367 992,748098 999,918325
1739,000 1019,098402 992,831352 999,91326
1740,000 1020,721437 992,914605 999,908196
1741,000 1022,344472 992,997858 999,903131
1742,000 1023,967506 993,081111 999,898067
1743,000 1025,590541 993,164364 999,893002
1744,000 1027,213576 993,247617 999,887938
1745,000 1028,83661 993,33087 999,882873
1746,000 1030,459645 993,414123 999,877809
1747,000 1032,08268 993,497376 999,872744
1748,000 1033,705715 993,580629 999,86768
1749,000 1035,328749 993,663882 999,862615
1750,000 1036,951267 993,728044 999,860568
1751,000 1038,573714 993,789565 999,858938
1752,000 1040,196161 993,851085 999,857307
1753,000 1041,818608 993,912606 999,855677
1754,000 1043,441055 993,974127 999,854047
1755,000 1045,063502 994,035647 999,852417
1756,000 1046,685949 994,097168 999,850786
1757,000 1048,308395 994,158689 999,849156
1758,000 1049,930842 994,220209 999,847526
1759,000 1051,553289 994,28173 999,845896
1760,000 1053,175736 994,343251 999,844265
1761,000 1054,794551 994,404378 999,842705
1762,000 1056,400774 994,464141 999,841387
1763,000 1058,006996 994,523904 999,840068
1764,000 1059,613219 994,583667 999,83875
1765,000 1061,219442 994,643431 999,837432
1766,000 1062,825664 994,703194 999,836113
1767,000 1064,431887 994,762957 999,834795
1768,000 1066,03811 994,82272 999,833477
1769,000 1067,644333 994,882483 999,832158
1770,000 1069,250555 994,942246 999,83084
1771,000 1070,856778 995,002009 999,829522
1772,000 1072,463001 995,061773 999,828204
1773,000 1074,052582 995,121309 999,832384
1774,000 1075,639126 995,180805 999,837569
1775,000 1077,225669 995,2403 999,842754
1776,000 1078,812212 995,299795 999,847939
1777,000 1080,398756 995,359291 999,853123
1778,000 1081,985299 995,418786 999,858308
1779,000 1083,571842 995,478282 999,863493
1780,000 1085,157428 995,537816 999,867729
1781,000 1086,736644 995,597609 999,865659
1782,000 1088,315861 995,657402 999,863589
1783,000 1089,895077 995,717195 999,861518
1784,000 1091,474293 995,776988 999,859448
1785,000 1093,05351 995,836781 999,857377
1786,000 1094,632726 995,896574 999,855307
1787,000 1096,211943 995,956367 999,853237
1788,000 1097,791159 996,016161 999,851166
1789,000 1099,370376 996,075954 999,849096
1790,000 1100,949592 996,135747 999,847025
1791,000 1102,528808 996,19554 999,844955
1792,000 1104,107204 996,255305 999,842793
1793,000 1105,671699 996,314595 999,839072
1794,000 1107,236194 996,373886 999,835352
1795,000 1108,800689 996,433176 999,831632
1796,000 1110,365184 996,492467 999,827912
1797,000 1111,929679 996,551757 999,824192
1798,000 1113,494173 996,611048 999,820471
1799,000 1115,058668 996,670339 999,816751
1800,000 1116,623163 996,729629 999,813031
1801,000 1118,187658 996,78892 999,809311
1802,000 1119,752153 996,84821 999,805591
1803,000 1121,316648 996,907501 999,801871
1804,000 1122,881143 996,966791 999,79815
1805,000 1124,443164 997,02599 999,79448
1806,000 1125,991507 997,084683 999,791081
1807,000 1127,53985 997,143377 999,787683
1808,000 1129,088193 997,20207 999,784285
1809,000 1130,636536 997,260763 999,780887
1810,000 1132,184879 997,319456 999,777489
1811,000 1133,733222 997,37815 999,774091
1812,000 1135,281565 997,436843 999,770693
1813,000 1136,829908 997,495536 999,767295
1814,000 1138,378251 997,554229 999,763897
1815,000 1139,926595 997,612923 999,760499
1816,000 1141,474938 997,671616 999,757101
