Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
710,73724365234 20605 0 <_____> 1480,6 <Интегр-Навиг> 135,639 0,304887 0,448422 0,442225 -0,262051 0 55,75855684766 37,72854031411 168,96098327637 0,0458192 9,78989 -0,0518332
581,53924560547 132396 -1,90613 <_____> 1502 <Интегр-Навиг> 135,848 0,340798 -0,438751 3,31459 -3,18201 0 55,75936320508 37,72712013141 165,70057678223 0,224239 9,85617 -0,126151
581,32745361328 132559 -1,8301 <_____> 1502 <Интегр-Навиг> 135,838 0,341776 -0,407365 3,30361 -3,17899 0 55,75936444683 37,72711785414 165,71841430664 -0,0304957 10,3497 0,192323
581,11566162109 132722 -1,8301 <_____> 1502 <Интегр-Навиг> 135,84 0,355913 -0,397987 3,29427 -3,16188 0 55,75936582009 37,72711551443 165,69198608398 0,926394 9,72687 0,375449
580,90386962891 132885 -1,8301 <_____> 1501,8 <Интегр-Навиг> 135,832 0,382816 -0,38185 3,3415 -3,20299 0 55,75936714116 37,72711326194 165,66676330566 0,0928026 8,52583 -0,268657
580,69207763672 133047 -1,90613 <_____> 1501,6 <Интегр-Навиг> 135,824 0,393368 -0,400682 3,33403 -3,22299 0 55,75936852369 37,72711090545 165,64012145996 -0,000320841 10,7049 -0,193947
580,48028564453 133207 -1,90613 <_____> 1501,8 <Интегр-Навиг> 135,818 0,379035 -0,411449 3,36674 -3,2515 0 55,75936986705 37,72710861633 165,61454772949 -0,0773778 10,5232 0,559453
580,26849365234 133368 -1,90613 <_____> 1501,8 <Интегр-Навиг> 135,824 0,413393 -0,364654 3,36694 -3,20418 0 55,75937120864 37,72710632560 165,58923339844 1,10779 8,95777 -0,539808
580,05664062500 133529 -1,90613 <_____> 1502 <Интегр-Навиг> 135,819 0,420692 -0,409778 3,3301 -3,21033 0 55,75937257942 37,72710365625 165,61056518555 0,877264 11,2779 -1,05012
579,84484863281 133690 -1,90613 <_____> 1502 <Интегр-Навиг> 135,822 0,410744 -0,426163 3,32275 -3,21242 0 55,75937391407 37,72710138201 165,58528137207 -0,0507559 10,4785 0,25573
579,63305664063 133852 -1,8301 <_____> 1501,6 <Интегр-Навиг> 135,82 0,430232 -0,390173 3,35646 -3,20736 0 55,75937524342 37,72709911450 165,56036376953 0,219511 9,15345 0,0921746
579,42126464844 134014 -1,8301 <_____> 1501,4 <Интегр-Навиг> 135,823 0,471315 -0,401815 3,29854 -3,16825 0 55,75937662461 37,72709675813 165,53446960449 -0,918318 6,66621 -0,294903
579,20947265625 134177 -1,90613 <_____> 1501,6 <Интегр-Навиг> 135,822 0,447378 -0,417606 3,31991 -3,20847 0 55,75937794601 37,72709450563 165,50898742676 -0,251424 9,9728 -0,207368
578,99768066406 134338 -1,90613 <_____> 1501,6 <Интегр-Навиг> 135,831 0,453657 -0,394461 3,34493 -3,19837 0 55,75937927912 37,72709223319 165,48376464844 0,729575 10,1866 -0,271229
578,78588867188 134499 -1,90613 <_____> 1501,6 <Интегр-Навиг> 135,831 0,480624 -0,362782 3,37712 -3,24229 0 55,75938082255 37,72708940540 165,50749206543 -0,942538 6,44515 0,0341001
578,57403564453 134659 -1,90613 Piket 1501,2 <Интегр-Навиг> 135,842 0,458846 -0,381665 3,33481 -3,22137 0 55,75938216326 37,72708712259 165,48255920410 0,195855 10,2768 -0,164408
578,36224365234 134821 -1,90613 <_____> 1501,2 <Интегр-Навиг> 135,863 0,461168 -0,387654 3,28831 -3,162 0 55,75938354507 37,72708477095 165,45669555664 -0,149592 10,8559 0,170833
578,15045166016 134985 -1,90635 <_____> 1501 <Интегр-Навиг> 135,877 0,451459 -0,358142 3,29118 -3,13599 0 55,75938486198 37,72708252894 165,43208312988 0,626338 9,33104 -0,881167
577,93865966797 135150 -1,90635 <_____> 1501 <Интегр-Навиг> 135,874 0,45083 -0,36349 3,28663 -3,14125 0 55,75938622252 37,72708021592 165,40609741211 0,344254 9,4695 -0,546839
577,72686767578 135313 -1,90635 <_____> 1501 <Интегр-Навиг> 135,879 0,450389 -0,39272 3,33249 -3,1974 0 55,75938754353 37,72707797031 165,38111877441 0,0984916 10,6583 -0,224103
577,51507568359 135475 -1,82988 <_____> 1500,8 <Интегр-Навиг> 135,883 0,444388 -0,379912 3,32989 -3,19765 0 55,75938942661 37,72707506985 165,39416503906 0,053423 11,1665 -0,323375
577,30328369141 135635 -1,82988 <_____> 1500,8 <Интегр-Навиг> 135,894 0,437073 -0,378696 3,36481 -3,22208 0 55,75939076402 37,72707279889 165,36984252930 -0,15823 9,71534 0,0274095
577,09149169922 135796 -1,90613 <_____> 1500,8 <Интегр-Навиг> 135,9 0,435797 -0,40189 3,35419 -3,21681 0 55,75939210619 37,72707051997 165,34532165527 0,0510409 10,4993 -0,222951
576,87963867188 135957 -1,90613 <_____> 1500,8 <Интегр-Навиг> 135,896 0,419878 -0,405786 3,35181 -3,21583 0 55,75939344516 37,72706824847 165,32087707520 -0,0537259 11,0654 0,0909257
576,66784667969 136118 -1,90613 <_____> 1500,8 <Интегр-Навиг> 135,917 0,409949 -0,403214 3,34119 -3,1855 0 55,75939478441 37,72706597546 165,29652404785 0,00273157 9,73774 -0,0053246
576,45605468750 136279 -1,90635 <_____> 1500,8 <Интегр-Навиг> 135,937 0,422049 -0,423377 3,34583 -3,20005 0 55,75939611932 37,72706370925 165,27210998535 -0,0122895 9,91356 -0,136666
576,24426269531 136441 -1,90635 <_____> 1501 <Интегр-Навиг> 135,942 0,407039 -0,437213 3,33 -3,19607 0 55,75939750810 37,72706135325 165,27484130859 -0,210567 10,3446 -0,354779
576,03247070313 136603 -1,90613 <_____> 1501 <Интегр-Навиг> 135,946 0,389192 -0,422539 3,33181 -3,19606 0 55,75939843710 37,72705877989 165,25077819824 -0,45534 9,74213 0,115264
575,82067871094 136764 -1,90613 <_____> 1501 <Интегр-Навиг> 135,962 0,406258 -0,423752 3,33986 -3,18594 0 55,75939977053 37,72705651500 165,22668457031 0,529158 9,31246 -0,386245
575,60888671875 136927 -1,90613 <_____> 1501 <Интегр-Навиг> 135,972 0,391372 -0,448305 3,29274 -3,16836 0 55,75940109508 37,72705426589 165,20245361328 0,106858 10,633 -0,737079
575,39709472656 137091 -1,82988 <_____> 1500,8 <Интегр-Навиг> 135,985 0,370262 -0,418491 3,30206 -3,16471 0 55,75940246908 37,72705193801 165,17726135254 -0,634507 10,1433 0,448522
575,18524169922 137255 -1,82988 <_____> 1501 <Интегр-Навиг> 135,985 0,386646 -0,398069 3,30217 -3,13866 0 55,75940383708 37,72704961798 165,15196228027 -0,234733 9,37065 0,0628585
574,97344970703 137418 -1,90635 <_____> 1500,8 <Интегр-Навиг> 136,001 0,419368 -0,397762 3,31702 -3,1594 0 55,75940515701 37,72704737750 165,17843627930 0,84935 10,7413 -0,846968
574,76165771484 137581 -1,90635 <_____> 1500,8 <Интегр-Навиг> 136,004 0,386827 -0,392699 3,31755 -3,17457 0 55,75940636747 37,72704528720 165,15373229980 -1,27527 9,39422 0,72964
574,54986572266 137744 -1,82988 <_____> 1500,6 <Интегр-Навиг> 136,013 0,367564 -0,374963 3,31973 -3,15375 0 55,75940769296 37,72704304276 165,12992858887 0,652427 9,69269 -0,206692
574,33807373047 137907 -1,82988 <_____> 1500,6 <Интегр-Навиг> 136,018 0,395103 -0,346012 3,34412 -3,15394 0 55,75940907556 37,72704069980 165,10513305664 0,57602 8,95032 -0,546538
574,12628173828 138069 -1,82988 <_____> 1500,4 <Интегр-Навиг> 136,028 0,333954 -0,39569 3,33843 -3,21978 0 55,75941040049 37,72703845777 165,08117675781 -0,691584 10,0387 -0,00366173
573,91448974609 138232 -1,90613 <_____> 1500,4 <Интегр-Навиг> 136,024 0,344767 -0,370678 3,30053 -3,13325 0 55,75941172747 37,72703620973 165,05718994141 1,17184 10,771 0,540726
573,70263671875 138395 -1,90613 <_____> 1500,4 <Интегр-Навиг> 136,047 0,357905 -0,328917 3,31959 -3,14229 0 55,75941310694 37,72703387157 165,03240966797 0,50329 9,67791 0,223408
573,49084472656 138559 -1,8301 <_____> 1500,4 <Интегр-Навиг> 136,037 0,305412 -0,36762 3,29602 -3,16686 0 55,75941445586 37,72703193340 165,05223083496 -1,39797 12,0802 0,552083
573,27905273438 138722 -1,8301 <_____> 1500,4 <Интегр-Навиг> 136,047 0,299883 -0,384164 3,30719 -3,15677 0 55,75941583203 37,72702960374 165,02761840820 -0,106163 10,3522 0,345275
573,06726074219 138885 -1,8301 <_____> 1500,4 <Интегр-Навиг> 136,048 0,264984 -0,325714 3,31602 -3,15162 0 55,75941715542 37,72702736279 165,00418090820 1,07778 9,45247 -0,757188
572,85546875000 139048 -1,90613 <_____> 1500,4 <Интегр-Навиг> 136,069 0,277574 -0,357027 3,28434 -3,12885 0 55,75941853435 37,72702502702 164,97972106934 0,544821 10,9654 -1,13581
572,64367675781 139211 -1,90613 <_____> 1500,4 <Интегр-Навиг> 136,075 0,263346 -0,373718 3,31204 -3,16403 0 55,75941986158 37,72702278015 164,95585632324 -0,0427666 10,1153 -0,0676345
572,43188476563 139374 -1,82988 <_____> 1500,6 <Интегр-Навиг> 136,069 0,262402 -0,35396 3,34257 -3,18665 0 55,75942124281 37,72702044266 164,93121337891 -0,54137 10,2758 1,01549
572,22009277344 139535 -1,82988 <_____> 1500,6 <Интегр-Навиг> 136,075 0,228847 -0,359553 3,33902 -3,18624 0 55,75942235458 37,72701823729 164,95127868652 -0,413553 9,77938 -0,526752
572,00823974609 139696 -1,82988 <_____> 1500,8 <Интегр-Навиг> 136,067 0,214441 -0,366175 3,34091 -3,19026 0 55,75942369076 37,72701597581 164,92771911621 -0,226872 9,95659 0,194605
571,79644775391 139858 -1,90635 <_____> 1501 <Интегр-Навиг> 136,054 0,173349 -0,31902 3,34435 -3,19117 0 55,75942503048 37,72701371064 164,90441894531 -0,0879441 9,39849 0,779807
571,58465576172 140022 -1,90635 <_____> 1501 <Интегр-Навиг> 136,054 0,188767 -0,29563 3,27989 -3,11716 0 55,75942640777 37,72701137806 164,88040161133 -0,734358 7,79004 -0,0560319
571,37286376953 140187 -1,90613 <_____> 1501 <Интегр-Навиг> 136,043 0,169196 -0,30067 3,25656 -3,11674 0 55,75942776916 37,72700907421 164,85572814941 0,324929 9,37547 -0,184547
571,16107177734 140358 -1,90613 <_____> 1501 <Интегр-Навиг> 135,922 0,0894976 -0,248323 3,26465 -3,03891 0 55,75942910773 37,72700679059 164,83152770996 -0,583101 12,4914 3,0701
570,94927978516 140529 -1,90613 <_____> 1500,8 <Интегр-Навиг> 135,968 0,200504 -0,39047 3,18371 -2,99176 0 55,75943007419 37,72700408922 164,86146545410 0,236975 5,98104 -0,5351
570,73748779297 140702 -1,75364 <_____> 1500,6 <Интегр-Навиг> 136,001 0,187102 -0,539126 3,09188 -2,96675 0 55,75943141381 37,72700181690 164,83644104004 -0,378296 8,72114 0,378366
570,52563476563 140880 -1,75364 <_____> 1500,2 <Интегр-Навиг> 135,928 0,188583 -0,666319 2,97471 -2,83539 0 55,75943278599 37,72699948678 164,81057739258 2,06182 12,0986 -2,73327
570,31384277344 141060 -1,75386 <_____> 1499,8 <Интегр-Навиг> 136,019 0,167236 -0,688539 2,97804 -2,82288 0 55,75943412939 37,72699722054 164,78504943848 1,69034 11,7343 -1,09134
570,10205078125 141243 -1,75386 <_____> 1499 <Интегр-Навиг> 136,089 -0,0469518 -0,953023 2,68272 -2,6715 0 55,75943544561 37,72699501161 164,75732421875 4,73574 41,2871 0,606058
569,89025878906 141433 -1,60115 <_____> 1498,6 <Интегр-Навиг> 136,147 0,157545 -0,772116 2,88365 -2,80156 0 55,75943677192 37,72699275574 164,73429870605 -0,650192 13,2738 -0,338599
569,67846679688 141620 -1,60115 <_____> 1497,2 <Интегр-Навиг> 136,167 0,204652 -0,656061 2,9306 -2,81464 0 55,75943821645 37,72699114256 164,78605651855 -0,829258 8,14483 -0,775876
569,46667480469 141804 -1,67739 <_____> 1495 <Интегр-Навиг> 136,189 0,20114 -0,629009 2,94478 -2,80985 0 55,75943958591 37,72698882925 164,76077270508 0,107841 11,0865 -0,19765
569,25488281250 141988 -1,67739 <_____> 1492,8 <Интегр-Навиг> 136,186 0,195534 -0,611853 2,96427 -2,81501 0 55,75944096054 37,72698650865 164,73570251465 -0,390622 9,04061 0,140084
569,04309082031 142170 -1,67739 <_____> 1491 <Интегр-Навиг> 136,189 0,210552 -0,558544 3,00653 -2,84679 0 55,75944229980 37,72698425070 164,71122741699 -0,106062 9,02443 -0,737831
568,83123779297 142351 -1,67739 <_____> 1489,8 <Интегр-Навиг> 136,199 0,199132 -0,534489 3,00912 -2,87138 0 55,75944364873 37,72698197572 164,68664550781 0,0558952 11,184 0,0696662
568,61944580078 142531 -1,67739 <_____> 1489,6 <Интегр-Навиг> 136,193 0,173711 -0,5169 3,04383 -2,88177 0 55,75944555877 37,72697906700 164,72976684570 0,436521 9,67622 -0,596705
568,40765380859 142709 -1,67761 <_____> 1489,2 <Интегр-Навиг> 136,225 0,173797 -0,45946 3,06759 -2,90357 0 55,75944692460 37,72697676675 164,70582580566 -0,491773 8,93356 -0,503492
568,19586181641 142888 -1,67761 Piket 1489 <Интегр-Навиг> 136,225 0,14483 -0,436612 3,01938 -2,87056 0 55,75944829128 37,72697446434 164,68161010742 -0,276577 10,7793 -0,205277
567,98406982422 143067 -1,67739 <_____> 1488,8 <Интегр-Навиг> 136,239 0,113427 -0,450943 3,04284 -2,87481 0 55,75944965578 37,72697217137 164,65753173828 -0,330064 8,71437 0,29915
567,77227783203 143246 -1,67739 <_____> 1488,8 <Интегр-Навиг> 136,244 0,0975456 -0,411164 3,0739 -2,92031 0 55,75945097579 37,72696995061 164,63415527344 -0,731329 7,98456 -0,544531
567,56048583984 143423 -1,75364 <_____> 1489 <Интегр-Навиг> 136,263 0,0683248 -0,420375 3,05993 -2,9126 0 55,75945235114 37,72696763769 164,60963439941 -0,0683682 10,4376 -0,217333
567,34869384766 143600 -1,75364 <_____> 1489 <Интегр-Навиг> 136,292 0,0254822 -0,455085 3,09633 -2,91969 0 55,75945407470 37,72696403280 164,64736938477 -0,0692369 10,9105 -0,794264
567,13684082031 143776 -1,67761 <_____> 1489,2 <Интегр-Навиг> 136,293 0,00557983 -0,430622 3,1277 -2,96787 0 55,75945546692 37,72696169374 164,62365722656 -0,862653 8,61441 -0,569512
566,92504882813 143949 -1,67761 <_____> 1489 <Интегр-Навиг> 136,293 -0,0188662 -0,431258 3,14097 -2,99214 0 55,75945682072 37,72695941627 164,60069274902 0,610477 10,58 0,0865026
566,71325683594 144122 -1,67761 <_____> 1488,8 <Интегр-Навиг> 136,296 -0,0664948 -0,461074 3,17983 -3,01239 0 55,75945818820 37,72695711505 164,57783508301 -0,166077 9,47939 -0,0824786
566,50146484375 144293 -1,75364 <_____> 1488,6 <Интегр-Навиг> 136,299 -0,0735371 -0,422301 3,20763 -3,04758 0 55,75945951306 37,72695488509 164,55587768555 -0,499098 7,95009 -0,360786
566,28967285156 144463 -1,75364 <_____> 1488,2 <Интегр-Навиг> 136,325 -0,0793894 -0,422612 3,1959 -3,03856 0 55,75946089660 37,72695255513 164,58947753906 0,339647 10,3879 -0,12093
566,07788085938 144632 -1,82988 <_____> 1487,8 <Интегр-Навиг> 136,328 -0,115205 -0,446337 3,23414 -3,07721 0 55,75946213643 37,72694901321 164,56787109375 -0,691616 10,2567 -0,464512
565,86608886719 144802 -1,82988 <_____> 1487,2 <Интегр-Навиг> 136,341 -0,132778 -0,389387 3,19601 -3,04069 0 55,75946352688 37,72694666899 164,54539489746 0,466473 10,2585 -0,450184
565,65423583984 144973 -1,75364 <_____> 1487 <Интегр-Навиг> 136,352 -0,118721 -0,389459 3,16502 -3,01337 0 55,75946484514 37,72694444691 164,52363586426 0,280782 10,4378 -0,0128145
565,44244384766 145145 -1,75364 <_____> 1486,6 <Интегр-Навиг> 136,36 -0,144757 -0,395539 3,18591 -3,00381 0 55,75946621857 37,72694213616 164,50097656250 0,475749 10,867 -0,900665
565,23065185547 145316 -1,75364 <_____> 1486,4 <Интегр-Навиг> 136,378 -0,150997 -0,344665 3,16591 -3,03004 0 55,75946759226 37,72693982379 164,47822570801 0,482095 11,4916 -0,191346
565,01885986328 145486 -1,8301 <_____> 1486,2 <Интегр-Навиг> 136,406 -0,142253 -0,353964 3,21526 -3,03843 0 55,75946901067 37,72693700586 164,52090454102 -0,00909716 9,94511 -0,0622643
564,80706787109 145656 -1,8301 <_____> 1486,2 <Интегр-Навиг> 136,426 -0,151772 -0,375072 3,21367 -3,04887 0 55,75947040178 37,72693466516 164,49879455566 -0,182284 9,95414 -0,445675
564,59527587891 145824 -1,75364 <_____> 1486 <Интегр-Навиг> 136,434 -0,172337 -0,37129 3,18502 -3,06107 0 55,75947174330 37,72693240856 164,47747802734 0,26561 11,2855 -0,333738
564,38348388672 145994 -1,75364 <_____> 1485,4 <Интегр-Навиг> 136,445 -0,168177 -0,381224 3,18408 -3,02156 0 55,75947313017 37,72693007305 164,45533752441 0,547018 10,0193 0,255802
564,17169189453 146164 -1,82988 <_____> 1485,2 <Интегр-Навиг> 136,45 -0,173915 -0,412775 3,20621 -3,03647 0 55,75947446075 37,72692783173 164,43403625488 -0,232003 9,93953 0,283527
563,95983886719 146334 -1,82988 <_____> 1485,2 <Интегр-Навиг> 136,458 -0,172647 -0,425257 3,20549 -3,05833 0 55,75947584625 37,72692549937 164,41189575195 0,073228 9,76544 -0,991807
563,74804687500 146503 -1,82988 <_____> 1485 <Интегр-Навиг> 136,466 -0,174956 -0,432857 3,22293 -3,06152 0 55,75947748781 37,72692276203 164,43093872070 -0,385969 10,1727 0,441326
563,53625488281 146671 -1,8301 <_____> 1485,2 <Интегр-Навиг> 136,456 -0,18392 -0,451634 3,26255 -3,07152 0 55,75947883574 37,72692049387 164,41018676758 0,421225 9,64889 -0,268863
563,32446289063 146838 -1,8301 <_____> 1485,2 <Интегр-Навиг> 136,471 -0,205869 -0,464177 3,24258 -3,10096 0 55,75948019014 37,72691821547 164,38943481445 -0,54959 9,73594 -0,211647
563,11267089844 147007 -1,75364 <_____> 1485,8 <Интегр-Навиг> 136,486 -0,202188 -0,478216 3,22169 -3,05611 0 55,75948153851 37,72691594783 164,36869812012 0,646279 10,4474 -0,130294
562,90087890625 147176 -1,75364 <_____> 1485,8 <Интегр-Навиг> 136,493 -0,211426 -0,486326 3,23709 -3,05568 0 55,75948293199 37,72691360755 164,34722900391 -0,688566 8,8662 -0,088582
562,68908691406 147345 -1,82988 <_____> 1485,8 <Интегр-Навиг> 136,51 -0,210333 -0,488335 3,18311 -3,0289 0 55,75948426556 37,72691136786 164,32650756836 -0,189599 10,0877 -0,523299
562,47723388672 147516 -1,82988 <_____> 1485,8 <Интегр-Навиг> 136,525 -0,216375 -0,497453 3,18441 -3,02576 0 55,75948508085 37,72690778821 164,32946777344 0,0990313 9,88287 0,131444
562,26544189453 147687 -1,82988 <_____> 1485,8 <Интегр-Навиг> 136,543 -0,219182 -0,48866 3,20559 -3,02177 0 55,75948640826 37,72690555729 164,30908203125 -0,0635346 9,91586 -0,183687
562,05364990234 147857 -1,8301 <_____> 1485,8 <Интегр-Навиг> 136,573 -0,216496 -0,473223 3,15742 -3,0267 0 55,75948778992 37,72690323616 164,28794860840 0,0033367 9,46784 -0,0428706
561,84185791016 148029 -1,8301 <_____> 1485,6 <Интегр-Навиг> 136,611 -0,216048 -0,488571 3,14536 -2,97585 0 55,75948916000 37,72690093389 164,26655578613 0,509342 9,86448 -0,113497
561,63006591797 148203 -1,75364 <_____> 1485,4 <Интегр-Навиг> 136,648 -0,230078 -0,482899 3,09055 -2,92736 0 55,75949050812 37,72689866941 164,24517822266 -0,27363 9,97516 0,4765
561,41827392578 148380 -1,75364 <_____> 1485,4 <Интегр-Навиг> 136,643 -0,227077 -0,456574 3,05332 -2,91959 0 55,75949184465 37,72689642454 164,22383117676 -0,35041 9,31586 -0,404214
561,20648193359 148558 -1,67739 <_____> 1485,2 <Интегр-Навиг> 136,658 -0,232426 -0,456867 3,06203 -2,91689 0 55,75949313572 37,72689379698 164,22367858887 0,269038 9,7739 -0,301548
560,99468994141 148734 -1,67739 <_____> 1485 <Интегр-Навиг> 136,658 -0,240293 -0,461903 3,10125 -2,93556 0 55,75949452614 37,72689146592 164,20172119141 -0,65283 9,45808 0,377623
560,78283691406 148909 -1,67739 <_____> 1484,8 <Интегр-Навиг> 136,648 -0,238576 -0,460707 3,13566 -2,98373 0 55,75949587539 37,72688920218 164,18051147461 -0,332671 9,89251 -0,545276
560,57104492188 149082 -1,75386 <_____> 1484,8 <Интегр-Навиг> 136,66 -0,26312 -0,456244 3,14613 -2,98463 0 55,75949723914 37,72688691621 164,15933227539 -0,34248 8,7572 0,303017
560,35925292969 149255 -1,75386 <_____> 1484,8 <Интегр-Навиг> 136,656 -0,264133 -0,463084 3,17963 -2,99522 0 55,75949861022 37,72688461822 164,13800048828 -0,506186 9,22266 -0,0856125
560,14746093750 149425 -1,75364 <_____> 1484,6 <Интегр-Навиг> 136,666 -0,278034 -0,468433 3,20657 -3,05946 0 55,75949994119 37,72688238739 164,10697937012 -0,839661 9,83326 -0,303659
559,93566894531 149594 -1,75364 <_____> 1484,6 <Интегр-Навиг> 136,68 -0,278994 -0,459846 3,22077 -3,04787 0 55,75950097150 37,72687936621 164,08581542969 0,295989 9,82596 0,450184
559,72387695313 149763 -1,82988 <_____> 1484,6 <Интегр-Навиг> 136,689 -0,287901 -0,471876 3,23428 -3,07679 0 55,75950231703 37,72687710728 164,06535339355 -0,752446 8,83523 0,131916
559,51208496094 149930 -1,82988 <_____> 1484,6 <Интегр-Навиг> 136,69 -0,285268 -0,479784 3,24424 -3,09637 0 55,75950366861 37,72687483977 164,04479980469 -0,697441 9,4376 -0,476313
559,30029296875 150098 -1,82988 <_____> 1484,6 <Интегр-Навиг> 136,706 -0,291232 -0,466164 3,25172 -3,09052 0 55,75950502488 37,72687256421 164,02430725098 0,316212 10,1394 0,0149892
559,08843994141 150265 -1,82988 <_____> 1484,6 <Интегр-Навиг> 136,753 -0,265532 -0,485269 3,23627 -3,05191 0 55,75950637382 37,72687029861 164,00360107422 -0,153148 10,0008 0,144213
558,87664794922 150435 -1,82988 <_____> 1484,4 <Интегр-Навиг> 136,775 -0,259039 -0,488463 3,20837 -3,06038 0 55,75950776437 37,72686796923 163,96997070313 -0,884589 9,31582 -0,549672
558,66485595703 150605 -1,8301 <_____> 1484,2 <Интегр-Навиг> 136,801 -0,259839 -0,456084 3,18883 -3,02011 0 55,75950899280 37,72686560166 163,94944763184 0,0473408 10,4398 0,264124
558,45306396484 150775 -1,8301 <_____> 1484 <Интегр-Навиг> 136,855 -0,266134 -0,457479 3,18826 -2,99757 0 55,75951037042 37,72686329227 163,92791748047 -0,322164 9,24607 -0,12103
558,24127197266 150947 -1,75364 Piket 1484 <Интегр-Навиг> 136,891 -0,271415 -0,457791 3,18552 -3,00306 0 55,75951174586 37,72686099178 163,90641784668 -0,448761 9,52031 -1,14141
558,02947998047 151120 -1,75364 <_____> 1483,8 <Интегр-Навиг> 136,915 -0,290145 -0,425625 3,12272 -2,95053 0 55,75951305867 37,72685880026 163,88562011719 0,348585 11,12 -0,0798621
557,81768798828 151295 -1,75364 <_____> 1483,6 <Интегр-Навиг> 136,957 -0,309419 -0,428746 3,09393 -2,89401 0 55,75951445723 37,72685647146 163,86306762695 -0,239372 9,6286 0,0589569
557,60583496094 151473 -1,75364 <_____> 1483,4 <Интегр-Навиг> 136,983 -0,344433 -0,412225 3,06932 -2,91976 0 55,75951578924 37,72685425631 163,84144592285 -0,0461368 9,71338 -0,908054
557,39404296875 151650 -1,75364 <_____> 1483,6 <Интегр-Навиг> 137,01 -0,352325 -0,390021 3,07253 -2,90109 0 55,75951730644 37,72685117773 163,83204650879 -0,693319 9,69927 -0,119061
557,18225097656 151825 -1,67761 <_____> 1483,8 <Интегр-Навиг> 137,05 -0,390876 -0,401771 3,12684 -2,91645 0 55,75951865343 37,72684894102 163,81045532227 -0,23079 9,59587 0,0927586
556,97045898438 152000 -1,67761 <_____> 1483,8 <Интегр-Навиг> 137,068 -0,410926 -0,397504 3,14378 -2,94921 0 55,75952005891 37,72684660728 163,78813171387 0,0937111 9,94628 -0,744169
556,75866699219 152174 -1,75364 <_____> 1483,6 <Интегр-Навиг> 137,075 -0,438909 -0,382559 3,17139 -2,96702 0 55,75952142204 37,72684434340 163,76638793945 -0,461077 9,61396 -0,441818
556,54687500000 152347 -1,75364 <_____> 1483,4 <Интегр-Навиг> 137,089 -0,443085 -0,392665 3,18834 -2,96125 0 55,75952279475 37,72684206291 163,74452209473 0,0206216 10,123 -0,0219448
556,33508300781 152520 -1,75364 <_____> 1483,4 <Интегр-Навиг> 137,112 -0,44766 -0,393549 3,19468 -2,99835 0 55,75952366273 37,72684057786 163,74188232422 -1,00366 8,5862 -0,890324
556,12329101563 152691 -1,82988 <_____> 1483,4 <Интегр-Навиг> 137,132 -0,442667 -0,393819 3,22872 -3,00159 0 55,75952499527 37,72683836693 163,72109985352 0,276142 10,6596 -0,886858
555,91143798828 152859 -1,82988 <_____> 1483,2 <Интегр-Навиг> 137,151 -0,444588 -0,404824 3,27242 -3,05435 0 55,75952634550 37,72683612949 163,70033264160 0,0405407 10,3461 -0,103516
555,69964599609 153025 -1,75386 <_____> 1483,2 <Интегр-Навиг> 137,183 -0,456474 -0,398336 3,31912 -3,11536 0 55,75952771660 37,72683385448 163,67962646484 -0,578966 9,39679 -0,174194
555,48785400391 153189 -1,75386 <_____> 1483 <Интегр-Навиг> 137,202 -0,442605 -0,39302 3,3419 -3,12513 0 55,75952910575 37,72683155500 163,65878295898 0,346432 10,1235 0,230301
555,27606201172 153354 -1,90613 <_____> 1482,6 <Интегр-Навиг> 137,236 -0,452891 -0,398747 3,3008 -3,08853 0 55,75953049076 37,72682926056 163,63792419434 -0,260162 10,1366 0,0713312
555,06427001953 153522 -1,90613 <_____> 1482,4 <Интегр-Навиг> 137,256 -0,448272 -0,383881 3,23205 -3,02537 0 55,75953173538 37,72682711034 163,66934204102 -0,467432 9,58474 -0,146236
554,85247802734 153692 -1,90613 <_____> 1482,2 <Интегр-Навиг> 137,287 -0,444715 -0,343113 3,22629 -3,00623 0 55,75953308162 37,72682488453 163,64913940430 0,152876 9,24909 0,248057
554,64068603516 153863 -1,75364 <_____> 1482,2 <Интегр-Навиг> 137,297 -0,448151 -0,353668 3,21863 -2,98621 0 55,75953447234 37,72682258468 163,62786865234 -0,171235 9,73928 -0,138589
554,42889404297 154035 -1,75364 <_____> 1482,2 <Интегр-Навиг> 137,302 -0,461699 -0,346887 3,17573 -2,97917 0 55,75953585225 37,72682030369 163,60656738281 0,538162 9,57414 -0,552171
554,21704101563 154208 -1,75386 <_____> 1482,4 <Интегр-Навиг> 137,333 -0,47458 -0,317069 3,16401 -2,94295 0 55,75953722120 37,72681804189 163,58525085449 -0,357708 9,30731 0,2559
554,00524902344 154383 -1,75386 <_____> 1482,6 <Интегр-Навиг> 137,328 -0,474893 -0,332114 3,08517 -2,86738 0 55,75953857821 37,72681579812 163,56404113770 0,914289 11,2887 -0,22153
553,79345703125 154563 -1,75364 <_____> 1482,8 <Интегр-Навиг> 137,335 -0,478777 -0,343246 3,02919 -2,83371 0 55,75953975956 37,72681327214 163,60787963867 0,200995 9,2572 -0,813638
553,58166503906 154744 -1,75364 <_____> 1483,2 <Интегр-Навиг> 137,354 -0,494049 -0,327483 3,03195 -2,82578 0 55,75954111933 37,72681102525 163,58624267578 -0,0241001 10,5638 0,259233
