Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
147,000 0,52664384 0,63671415 0,47902998 0,63063853 0,27541561 0,35395398 0,33418438
148,000 0,5361104 0,69906048 0,40308708 0,62856666 0,35630437 0,39085584 0,34983528
149,000 0,46976095 0,7084655 0,30712913 0,7099931 0,36741637 0,38579792 0,3393184
150,000 0,43100747 0,75405977 0,34831138 0,79277379 0,35317735 0,37131027 0,36525438
151,000 0,43692006 0,63131327 0,43704866 0,6701603 0,2813553 0,39281716 0,28344275
152,000 0,54873369 0,80211852 0,54219221 0,72602679 0,35511308 0,49843474 0,34823188
153,000 0,54669305 0,79481867 0,46478931 0,61049158 0,39290576 0,44674352 0,35774548
154,000 0,47883856 0,57936548 0,49287582 0,7075509 0,4022437 0,42199142 0,17396612
155,000 0,38802185 0,67261504 0,39915111 0,69608956 0,26011546 0,45073317 0,36512028
156,000 0,58770174 0,73079599 0,46347547 0,79478006 0,39177837 0,45289772 0,41421841
157,000 0,3789144 0,42883787 0,27893512 0,68893699 0,21952583 0,50108423 0,21983332
158,000 0,1928055 0,5386863 0,23742068 0,48026506 0,23157152 0,26506756 0,24333389
159,000 0,29462545 0,46860424 0,32195268 0,51307937 0,1505543 0,13597532 0,18417103
160,000 0,40427209 0,62084778 0,33407683 0,57170567 0,31988906 0,25867541 0,31216576
161,000 0,3281103 0,49483315 0,31955611 0,41529679 0,26823411 -0,08343385 0,23691533
162,000 0,24919908 0,54138422 0,22894666 0,53178184 0,20979475 0,25586284 0,09830136
163,000 0,39723781 0,51636766 0,29536096 0,58932992 0,09489931 0,31016643 0,31691327
164,000 0,40907186 0,64913883 0,28704396 0,71328372 0,27832514 0,31061224 0,20253929
165,000 0,40264927 0,53273899 0,352439 0,66567014 0,28768503 0,36661741 0,3248567
166,000 0,39086594 0,65487662 0,49318587 0,7487637 0,3672002 0,39284984 0,38726988
167,000 0,45202344 0,57689553 0,52123252 0,61920288 0,33530798 0,37806179 0,25305521
168,000 0,42016158 0,60617371 0,41720867 0,66965573 0,38375501 0,34875179 0,32682169
169,000 0,3728162 0,62013321 0,34685428 0,62752863 0,35516253 0,42861303 0,22920643
170,000 0,38289105 0,6621556 0,59624602 0,63395225 0,38509604 0,42465407 0,47327798
171,000 0,45250485 0,61703658 0,33579223 0,58554512 0,18798634 0,33501543 0,17447828
