Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
9,47251224518 115473 0,811927 <_____> 1523,12 <Интегр-Навиг> 62,365 0,504966 -0,114471 -2,01595 1,12673 0 55,76375024131 37,72260607555 168,66593933105 -0,0398555 9,75773 0,255976
9,69804859161 115787 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,3473 0,512609 -0,124984 -1,97738 1,10358 0 55,76374844947 37,72260723113 168,76290893555 -0,328409 9,74238 -0,0764083
9,92358398438 116102 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,3329 0,494697 -0,133514 -1,96361 1,09309 0 55,76374690621 37,72260876560 168,74833679199 0,00744336 9,81443 -0,0348892
10,14912033081 116429 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,3245 0,523863 -0,145679 -1,86212 1,04526 0 55,76374535099 37,72261031688 168,73294067383 -0,207976 9,74513 0,132141
10,37465572357 116765 1,62386 <_____> 1522,91 <Интегр-Навиг> 62,3322 0,51179 -0,161269 -1,86237 1,05503 0 55,76374380863 37,72261153033 168,80506896973 -0,26165 9,67099 0,0559005
10,60019207001 117098 0,811927 <_____> 1522,71 <Интегр-Навиг> 62,3322 0,392038 -0,182572 -1,82519 1,03521 0 55,76374225554 37,72261308593 168,79093933105 0,00490085 9,87022 -0,145482
10,82572841644 117467 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,3527 0,348415 -0,203883 -1,55819 0,891217 0 55,76374070670 37,72261465077 168,83248901367 0,0154914 9,83994 -0,195796
11,05126380920 117899 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,3548 0,452493 -0,227083 -1,26498 0,738895 0 55,76373910236 37,72261588814 168,81588745117 -0,037116 9,80431 -0,27407
11,27680015564 118403 0,811927 <_____> 1522,71 <Интегр-Навиг> 62,3516 0,461771 -0,250133 -1,14323 0,676622 0 55,76373758200 37,72261747640 168,79621887207 0,114436 9,82689 -0,192072
11,50233650208 118975 0 <_____> 1522,91 <Интегр-Навиг> 62,3571 0,465991 -0,272452 -1,02 0,616175 0 55,76373597225 37,72261882616 168,82675170898 -0,00106497 9,76469 -0,163606
11,72787189484 119807 0 Piket 1522,91 <Интегр-Навиг> 62,3586 0,347916 -0,306395 -0,195773 0,184181 0 55,76373364031 37,72262062370 168,84671020508 0,0031169 9,8527 -0,350781
11,95340824127 121832 0 <_____> 1522,91 <Интегр-Навиг> 62,3374 0,571042 -0,33049 -0,759726 0,482646 0 55,76373099604 37,72262303089 168,87750244141 -0,0392201 9,75353 0,133435
12,17894458771 122506 0 <_____> 1523,12 <Интегр-Навиг> 62,3188 0,552177 -0,351236 -1,02486 0,618027 0 55,76372943273 37,72262431521 168,89112854004 -0,020372 9,86141 0,163784
12,40447998047 123058 0,811931 <_____> 1523,12 <Интегр-Навиг> 62,3015 0,545355 -0,371529 -1,23873 0,73224 0 55,76372789663 37,72262594735 168,87612915039 0,00525452 9,83887 0,121065
12,63001632690 123537 0,811927 <_____> 1523,32 <Интегр-Навиг> 62,2743 0,526244 -0,38414 -1,32527 0,780661 0 55,76372698635 37,72262659729 168,88279724121 -0,148592 9,72654 0,0443722
12,85555267334 123986 0,811931 <_____> 1523,32 <Интегр-Навиг> 62,2552 0,53523 -0,402674 -1,41245 0,829278 0 55,76372542874 37,72262821391 168,87088012695 0,119866 9,73676 -0,219539
13,08108806610 124417 0,811931 <_____> 1523,32 <Интегр-Навиг> 62,234 0,523594 -0,42784 -1,45055 0,844034 0 55,76372390210 37,72262979490 168,85914611816 -0,000515487 9,84268 -0,108416
13,30662441254 124839 0,811927 <_____> 1523,12 <Интегр-Навиг> 62,2248 0,567917 -0,450563 -1,47729 0,860331 0 55,76372263069 37,72263078415 168,84526062012 -0,0152728 9,88198 -0,271443
13,53215980530 125250 0,811931 <_____> 1523,12 <Интегр-Навиг> 62,2308 0,534627 -0,475491 -1,55455 0,902419 0 55,76372110720 37,72263235566 168,83399963379 -0,0642375 9,91566 0,0655756
13,75769615173 125641 0,811927 <_____> 1523,12 <Интегр-Навиг> 62,2306 0,554726 -0,490346 -1,63824 0,945924 0 55,76371954550 37,72263396119 168,81996154785 -0,24346 9,75633 -0,0662378
13,98323249817 126011 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,2242 0,496474 -0,496683 -1,7143 0,99126 0 55,76371826223 37,72263495216 168,80981445313 0,0866281 9,81872 0,230489
14,20876789093 126365 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,2215 0,548031 -0,512923 -1,78845 1,024 0 55,76371668898 37,72263655752 168,79949951172 -0,0349449 9,84517 -0,0230465
14,43430423737 126704 0,811927 <_____> 1522,31 <Интегр-Навиг> 62,2291 0,564842 -0,524403 -1,85491 1,0625 0 55,76371540238 37,72263755995 168,77967834473 -0,0454308 9,727 -0,14383
14,65984058380 127032 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,2359 0,589995 -0,534139 -1,92985 1,10133 0 55,76371382973 37,72263915199 168,77005004883 -0,0935164 9,74824 -0,0686096
