Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
781,48223876953 37243 -1,62378 <_____> 1516,04 <Интегр-Навиг> 46,1611 0,0101309 -0,286128 3,00356 -2,63625 0 55,75867816951 37,72842549536 180,31481933594 0,02739 9,80309 -0,229753
781,25671386719 37423 -1,624 <_____> 1515,24 <Интегр-Навиг> 46,1605 -0,0453362 -0,289283 3,02169 -2,65333 0 55,75867952107 37,72842338886 180,31951904297 0,133113 10,1061 -0,0146406
781,03118896484 37601 -1,624 <_____> 1515,03 <Интегр-Навиг> 46,14 -0,0508476 -0,290779 3,07126 -2,71311 0 55,75868007435 37,72842126780 180,23165893555 -0,20285 9,95684 -0,141412
780,80566406250 37776 -1,624 <_____> 1514,43 <Интегр-Навиг> 46,1319 0,027139 -0,272477 3,06809 -2,70515 0 55,75868140420 37,72841918431 180,23544311523 0,340625 9,66273 -0,0549401
780,58013916016 37953 -2,43567 <_____> 1514,02 <Интегр-Навиг> 46,1185 -0,0833455 -0,281887 3,04356 -2,69129 0 55,75868272433 37,72841712051 180,23904418945 0,175488 10,2523 0,0368038
780,35455322266 38130 -2,43567 <_____> 1513,82 <Интегр-Навиг> 46,1049 0,00663595 -0,295787 3,08768 -2,72651 0 55,75868410242 37,72841496410 180,24279785156 0,0456318 9,98206 -0,139969
780,12902832031 38305 -1,624 <_____> 1513,82 <Интегр-Навиг> 46,1019 -0,0247336 -0,287901 3,05448 -2,70128 0 55,75868543064 37,72841288069 180,24649047852 0,169788 9,84177 0,205066
779,90350341797 38481 -1,624 Piket 1513,82 <Интегр-Навиг> 46,089 -0,140186 -0,287753 3,10175 -2,74369 0 55,75868681098 37,72841072102 180,25022888184 -0,313391 10,0415 -0,211292
779,67797851563 38653 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,0917 -0,0475574 -0,263177 3,15213 -2,79304 0 55,75868764982 37,72840822533 180,16127014160 -0,157685 9,62224 0,0714438
779,45245361328 38821 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,0861 -0,134632 -0,270323 3,24614 -2,88089 0 55,75868903023 37,72840605689 180,16398620605 0,208086 10,0772 -0,201541
779,22686767578 38984 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,0988 -0,135711 -0,263797 3,39519 -3,01638 0 55,75869035214 37,72840397456 180,16659545898 0,0717149 9,90818 -0,47768
779,00134277344 39138 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1254 -0,0683777 -0,248889 3,48614 -3,1083 0 55,75869167008 37,72840188923 180,16905212402 0,0452208 9,58585 0,221178
778,77581787109 39293 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1086 -0,0148529 -0,241298 3,5137 -3,12445 0 55,75869300695 37,72839977466 180,17149353027 -0,109426 9,6554 -0,25159
778,55029296875 39444 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,1349 -0,126419 -0,224156 3,5913 -3,22452 0 55,75869436217 37,72839762566 180,17396545410 0,333726 9,7184 -0,498122
778,32476806641 39590 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,1345 -0,0908193 -0,217536 3,66684 -3,29612 0 55,75869502869 37,72839521107 180,11305236816 -0,0439908 9,93054 0,280743
778,09924316406 39735 -1,62378 <_____> 1513,82 <Интегр-Навиг> 46,1383 -0,0456956 -0,217375 3,77142 -3,39018 0 55,75869638908 37,72839304695 180,11494445801 0,0307346 10,1095 -0,475338
777,87365722656 39875 -2,43567 <_____> 1513,82 <Интегр-Навиг> 46,1586 -0,0419956 -0,196773 3,84779 -3,47953 0 55,75869772361 37,72839091869 180,11697387695 -0,40665 9,43378 -0,342635
777,64813232422 40012 -2,43567 <_____> 1513,82 <Интегр-Навиг> 46,1441 -0,081981 -0,169228 3,93371 -3,52215 0 55,75869901434 37,72838885837 180,11868286133 -0,0554938 10,1564 -0,371399
777,42260742188 40147 -2,43567 <_____> 1513,82 <Интегр-Навиг> 46,1613 0,00856572 -0,155084 3,99953 -3,61823 0 55,75870039902 37,72838664560 180,12066650391 0,0761282 9,63732 -0,539315
777,19708251953 40279 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1415 0,0778095 -0,137821 4,02677 -3,64528 0 55,75870166980 37,72838461459 180,12237548828 -0,352466 10,1095 -0,291839
776,97155761719 40412 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1561 -0,0725792 -0,116725 4,0431 -3,65465 0 55,75870301426 37,72838246048 180,12437438965 -0,0203557 9,79733 -0,144367
776,74597167969 40544 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1651 0,0373327 -0,119929 4,05324 -3,64947 0 55,75870436167 37,72838030354 180,06228637695 -0,107339 9,91585 0,00389223
776,52044677734 40675 -2,43589 <_____> 1513,82 <Интегр-Навиг> 46,1449 -0,0149829 -0,0863262 4,04367 -3,65121 0 55,75870476863 37,72837851505 180,06390380859 -0,184996 10,0601 -0,0367691
776,29492187500 40807 -2,43589 <_____> 1514,02 <Интегр-Навиг> 46,1484 0,1046 -0,0629359 4,02978 -3,6575 0 55,75870611216 37,72837635993 180,06567382813 -0,448696 9,64587 0,114719
776,06939697266 40939 -2,43589 <_____> 1514,23 <Интегр-Навиг> 46,1462 0,0198052 -0,0500914 4,03789 -3,64863 0 55,75870738766 37,72837431522 180,06715393066 -0,166213 10,2392 -0,314709
775,84387207031 41072 -2,43567 <_____> 1514,43 <Интегр-Навиг> 46,1372 0,122028 -0,0457155 4,03026 -3,6516 0 55,75870872983 37,72837216306 180,06886291504 -0,0307963 9,80168 -0,0564933
775,61834716797 41203 -2,43567 <_____> 1514,43 <Интегр-Навиг> 46,1504 0,0502568 -0,0450936 4,04068 -3,64621 0 55,75871007143 37,72837000944 180,07051086426 0,220324 9,97281 -0,0353905
775,39276123047 41337 -2,43567 <_____> 1514,63 <Интегр-Навиг> 46,1346 0,101283 -0,0356745 4,03275 -3,64316 0 55,75871141266 37,72836786038 180,07221984863 -0,164268 9,70554 -0,0900878
775,16723632813 41469 -2,43589 <_____> 1514,63 <Интегр-Навиг> 46,1453 0,0403823 -0,0447949 4,02932 -3,65055 0 55,75871275333 37,72836570892 180,07376098633 -0,17794 9,99498 0,10248
774,94171142578 41600 -2,43589 <_____> 1514,83 <Интегр-Навиг> 46,1529 0,0591251 -0,0311794 4,02148 -3,64649 0 55,75871326754 37,72836367803 180,07009887695 0,122759 9,83765 0,353488
774,71618652344 41734 -2,43589 <_____> 1515,24 <Интегр-Навиг> 46,1574 0,0103713 -0,0364024 4,02885 -3,64313 0 55,75871460676 37,72836152810 180,07167053223 -0,0242058 10,0578 -0,0113719
774,49066162109 41865 -2,43567 <_____> 1515,64 <Интегр-Навиг> 46,166 0,0359217 -0,0363832 4,03153 -3,64436 0 55,75871587951 37,72835948537 180,07319641113 0,123979 10,0894 -0,147107
774,26507568359 41998 -2,43567 <_____> 1515,84 <Интегр-Навиг> 46,1644 -0,010911 -0,0131701 4,02553 -3,63563 0 55,75871721801 37,72835733643 180,07482910156 -0,0670417 9,53192 -0,097641
774,03955078125 42130 -2,43567 <_____> 1516,25 <Интегр-Навиг> 46,1688 0,0544095 -0,0299818 4,01783 -3,64723 0 55,75871855683 37,72835519000 180,07643127441 -0,285211 9,27002 -0,152493
773,81402587891 42263 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,1708 0,0205331 -0,0205357 4,02074 -3,64687 0 55,75871989530 37,72835304185 180,07792663574 -0,00804197 9,55066 0,20376
773,58850097656 42396 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,1666 0,0750355 -0,0303691 4,02664 -3,63524 0 55,75872123404 37,72835089458 180,07940673828 0,0331278 10,0808 -0,0352373
773,36297607422 42527 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,1593 0,0506803 -0,0258876 4,02742 -3,64274 0 55,75872257271 37,72834874634 180,09501647949 -0,0184209 10,0069 -0,110873
773,13745117188 42660 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,1489 0,0673129 -0,0242659 4,0239 -3,64093 0 55,75872351979 37,72834585304 180,09671020508 -0,0995561 9,81247 -0,0860048
