acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
23 -23 1007 13 16 -7
23 0 1031 18 7 -20
0 0 983 18 -8 -28
47 0 959 6 5 -27
23 0 959 6 19 -6
47 -23 983 6 19 -6
47 0 911 11 2 -22
47 0 935 -6 14 -36
0 -23 983 -6 0 -22
0 0 1007 -11 -11 -7
47 0 1007 -11 -11 -7
23 0 1031 6 7 -20
0 -47 983 7 -2 -34
0 -23 959 14 -11 -48
71 0 1031 3 0 -22
47 0 935 3 0 -22
71 0 959 -3 -13 -22
95 0 959 2 -5 3
23 -23 983 15 -13 0
23 0 959 -4 -12 -14
23 -23 959 -4 -12 -14
23 -23 959 12 4 -15
23 23 1007 5 -7 -11
23 -23 1007 -1 -15 -5
0 0 983 -11 3 -5
23 -23 1007 -11 3 -5
71 -23 1007 3 26 -36
23 0 1007 -3 21 -32
0 0 959 11 1 -9
47 0 959 11 1 -5
23 -23 1007 13 0 -5
23 0 983 5 8 -44
23 0 1007 8 -7 -42
0 -23 1007 21 1 -26
23 -23 1007 21 1 -16
47 -23 1007 5 4 -16
0 23 935 13 2 -16
47 0 959 7 4 -36
0 -23 1007 0 -1 -27
23 -47 1055 0 -1 -27
23 23 983 14 19 -16
23 -23 959 19 17 -3
47 0 983 -2 -2 3
0 0 1055 4 -1 -3
0 -47 983 4 -1 -3
47 0 983 -6 -6 -22
23 -23 983 8 -4 -30
23 -23 983 -4 2 -1
23 -23 1031 -3 9 10
23 0 1007 -3 9 10
0 0 959 -1 16 -6
23 0 959 2 16 -31
23 -23 983 9 10 -40
0 0 1007 -8 13 11
0 -23 959 -8 13 11
0 -23 935 -11 1 14
47 0 1007 -8 -10 10
47 -23 983 1 7 0
71 -23 959 7 -2 -14
0 0 983 7 -2 -14
0 0 1007 9 0 -34
23 0 983 7 -9 -16
0 -23 959 16 -1 -14
47 -23 1007 0 17 -10
119 0 959 0 17 -10
23 0 959 -5 9 -37
0 0 1007 6 6 -32
0 0 983 8 11 -15
47 -23 1031 5 -10 -27
0 -47 983 5 -10 -27
23 -23 1007 6 -16 -15
47 -23 959 -3 -14 -17
0 0 983 -9 0 -12
47 -23 983 19 22 3
47 0 959 19 22 3
23 0 983 0 10 15
0 -23 983 -2 -2 -11
71 0 1031 8 -2 -34
23 0 959 0 4 -21
71 0 1007 0 4 -21
0 0 983 9 -3 -10
23 -23 959 8 -4 -3
-23 23 935 10 3 -3
23 0 983 14 1 -13
0 0 959 14 1 -13
0 -23 983 0 4 -5
0 23 1007 -3 -1 2
0 -23 983 -6 -2 0
0 -23 1007 -2 10 -19
23 -23 983 -2 10 -19
23 -23 959 13 5 -15
47 0 1007 23 5 -36
47 -23 983 22 19 -23
47 23 1007 13 3 -12
47 -23 983 13 3 -12
23 -23 1007 -6 -2 -8
0 0 983 -1 -6 -16
23 -23 959 6 4 -37
0 -23 983 12 6 -47
0 0 983 12 6 -47
23 0 1007 10 1 -10
23 0 983 6 11 8
23 -23 959 4 6 3
47 0 935 13 5 0
47 0 1007 13 5 0
23 23 983 5 0 -14
0 -23 983 0 2 -15
23 0 1007 12 5 -16
47 0 983 1 2 -16
23 0 1031 1 2 -16
47 23 1007 -3 -3 -11
23 0 983 -1 7 -21
0 0 1007 12 0 -21
23 -47 983 11 0 -23
47 -23 1031 11 0 -23
47 -23 1007 18 -8 -6
47 0 983 7 2 -12
47 -23 935 -1 2 -6
0 0 983 1 2 3
71 0 959 1 21 3
0 0 983 -4 9 -12
0 0 983 6 10 -25
23 -23 1007 -1 -4 -19
23 -47 1007 -1 -4 -14
0 0 1007 -1 7 -14
0 0 983 -4 -2 -5
0 0 959 8 19 -14
23 0 983 6 1 -14
0 -23 1007 6 1 -19
0 -23 959 5 -3 -19
47 -23 983 18 0 -19
47 -23 1007 15 0 -16
23 -71 1031 7 7 -13
0 -23 959 7 7 -13
23 0 959 11 7 -18
0 -23 1031 -13 6 -24
0 0 983 -4 7 -17
23 -23 983 5 -1 -8
0 0 959 5 -1 -8
23 0 959 16 9 -7
47 -47 1007 16 0 -4
47 -23 983 1 -11 -13
0 -23 1007 16 -3 -28
23 0 983 16 -3 -28
0 0 983 30 -5 -26
0 -23 959 13 -2 -18
-23 -23 959 -6 9 -12
0 0 983 -10 -4 -3
23 0 935 -10 -4 -3
0 0 959 3 -7 -3
23 -23 959 3 13 -4
23 0 959 12 4 -13
23 -23 1007 11 -9 7
0 -23 983 11 -9 7
23 0 1007 4 -3 -35
0 0 959 10 7 -37
71 -23 959 -1 9 -13
23 0 983 -1 1 -17
0 -23 935 -1 1 -17
71 0 983 0 5 -29
0 0 983 14 7 -31
47 -47 983 17 0 -1
23 -23 1055 3 1 -1
0 0 1007 3 1 -1
0 0 959 0 -2 8
23 0 1007 14 5 -7
23 23 1007 21 -6 -26
0 -23 1031 17 -7 1
23 -23 1055 17 -7 1
0 47 1031 -10 1 -8
23 -23 1007 -17 5 -30
23 23 959 -11 2 -41
0 0 959 10 2 -39
0 0 959 10 2 -39
95 23 1007 -6 6 -25
0 0 959 -4 1 -15
23 23 983 6 7 -16
23 -47 959 -1 -3 14
23 0 983 -1 -3 14
0 0 1055 4 0 -7
0 0 983 5 2 3
47 0 1007 -2 -6 12
0 0 983 4 -17 -11
23 0 935 4 -17 -11
23 -23 983 -11 -8 -4
23 0 983 -10 0 -10
0 -23 983 -7 2 -15
71 0 959 -1 6 -20
95 -23 935 -1 6 -20
47 -47 959 16 7 -21
23 0 1031 7 -1 -37
47 0 959 -1 -18 -23
47 23 1007 -16 -8 -4
23 0 983 -16 -8 -4
95 0 959 -2 -11 -16
23 0 1007 16 -2 -22
23 0 959 9 0 -20
23 0 983 -4 -2 -43
47 0 1007 -4 -2 -43
23 0 983 10 -9 -23
23 -23 1007 -6 1 -10
23 0 1007 6 10 -3
0 0 983 7 -6 -15
47 0 1007 7 -6 -15
47 0 959 5 -5 -25
0 23 983 8 5 -13
0 0 983 0 -4 0
0 -23 983 10 2 8
47 0 959 10 2 8
0 -23 935 0 -2 -5
23 0 1031 -7 -9 -4
23 -23 959 10 -6 -11
0 0 1007 9 -6 -34
23 -23 1007 9 3 -34
71 -71 983 14 8 -40
0 0 935 13 -2 -32
47 0 959 7 5 -23
23 -23 1007 7 5 -7
0 0 983 3 0 -7
0 23 1007 -3 0 -1
0 -23 983 6 21 -14
71 -23 983 21 16 0
23 0 1031 21 16 0
0 0 1031 3 3 -7
0 23 959 0 -15 -29
23 0 959 15 -5 -34
23 -23 959 8 2 -32
47 0 1031 8 2 -32
23 -23 1031 8 16 -13
71 -23 983 18 9 -20
23 -23 959 22 3 -22
23 0 983 14 -14 -7
0 0 983 14 -14 -7
71 -23 1007 -2 -6 -17
71 0 959 -23 -3 -2
47 -23 1031 -7 -11 -10
0 0 959 -1 -2 -40
23 -47 1031 -1 -2 -40
47 0 983 2 1 -29
23 -47 983 -6 -5 -9
-23 0 1007 8 -2 7
47 0 959 10 12 -6
23 0 959 10 12 -6
