acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
5920 16160 1657 1824 8224 8224
8224 16160 8202 8196 8255 8224
8224 16160 31008 16249 8224 16160
16160 8195 29984 28537 8313 8224
16160 29955 3705 16160 8224 2592
8224 16160 28448 16249 8224 13344
16160 8255 16160 16249 8224 16160
8224 16160 31087 31093 31087 8224
16160 2563 800 28448 8313 8224
8224 16160 31039 8197 16191 8224
16160 16131 3193 16160 8224 8224
16160 259 2336 2592 8224 8224
16160 30979 30073 28537 8313 8224
5920 16160 771 6688 16160 8224
16160 4611 1056 29984 8313 8224
16160 3843 4384 16160 8255 5152
8224 16160 1657 29984 8313 8224
8224 16160 31093 31093 8194 8224
8224 16160 16131 1343 8224 8224
16160 8195 2336 16160 8224 15392
12064 16160 8195 16160 28537 8313
16160 8196 3616 29984 8313 8224
8224 16160 29955 4729 5152 8224
8313 1824 30980 889 16160 8255
16160 5123 1056 16160 8313 8224
8224 1824 16132 28537 30073 8313
16160 1027 2848 31008 8313 8224
16160 16131 8313 8224 8224 16160
8224 16160 31097 31097 16191 8224
16160 2819 288 16160 8224 16160
16160 28419 16249 2937 8224 8224
16160 29955 1657 16160 8313 8224
8224 1824 1796 1056 16160 8255
8224 16160 31008 16249 8224 27936
5920 16160 8198 8196 8224 8224
8224 16160 8212 31039 8199 8224
8224 16160 31039 8203 31087 8224
8224 16160 30073 31097 8313 8224
8224 16160 8199 8193 8255 8224
8224 16160 31008 28537 8313 8224
16249 1027 29984 377 8224 8224
8224 16160 8224 8199 8224 8224
16160 771 1824 31008 8313 8224
8224 16160 1913 8224 8224 8224
8224 16160 31087 31039 31097 8224
16160 8255 31087 16191 8224 32279
16160 8196 544 800 8224 8224
16160 1795 16160 8313 8224 288
16160 1539 16160 16249 8313 8224
16160 28420 2425 28448 8313 8224
8224 16160 8204 31093 16191 8224
8224 1824 1028 16160 8313 8224
16160 1087 2592 29984 8313 8224
16160 16249 29955 30073 1145 8224
16160 29955 2681 16160 8224 12576
16160 16131 16191 8255 16160 30993
8313 16160 8193 8195 31087 8224
8224 42784 29955 31097 8313 8224
16160 28419 1657 544 8224 8224
8224 16160 3104 16160 8224 17440
8224 16160 8196 31087 8255 8224
8224 16160 8194 16191 8224 8224
5920 16160 31093 8224 31087 8224
5920 16160 1401 28448 8313 8224
8313 16160 16160 1401 8224 8224
8224 16160 8200 8224 8215 8224
8224 42784 29955 3193 2848 8224
12064 16160 2425 28448 8313 8224
8224 16160 8194 31039 16191 8224
12064 16160 8197 8224 31093 8224
16160 30979 3193 16160 8255 5152
8224 16160 31093 31097 31087 8224
16160 28419 30073 16249 8255 16160
16160 2051 29984 28537 8313 8224
8224 16160 4355 5920 8224 8224
8224 16160 4384 16160 8224 25888
8224 16160 2336 29984 8313 8224
16160 1028 29984 28537 8313 8224
16160 1795 800 544 8224 8224
